geneSymbol,moduleColor
AACS,black
AARS,black
AARSD1,black
AASDH,black
AASS,black
ABCA5,black
ABCB6,black
ABCF1,black
ABCF2,black
ABHD13,black
ABHD2,black
ABL1,black
ABTB1,black
ACAA1,black
ACAD11,black
ACADL,black
ACADM,black
ACADS,black
ACBD7,black
ACCN4,black
ACLY,black
ACOX3,black
ACSF3,black
ACSL3,black
ACTA2,black
ACVR1,black
ACYP2,black
ADAD1,black
ADAD2,black
ADAM15,black
ADAM2,black
ADARB2,black
ADCK4,black
ADCY9,black
ADD3,black
ADHFE1,black
ADIPOR1,black
ADIPOR2,black
ADK,black
ADM,black
ADRB2,black
AEBP2,black
AES,black
AFF1,black
AFF4,black
AFTPH,black
AGA,black
AGAP2,black
AGBL3,black
AGGF1,black
AGK,black
AGL,black
AGPAT9,black
AGTRAP,black
AHCYL2,black
AIFM2,black
AK7,black
AKAP12,black
AKAP7,black
AKD1,black
AKIRIN1,black
AKT2,black
ALDH4A1,black
ALDH6A1,black
ALDH7A1,black
ALDOA,black
ALG10B,black
ALG11,black
ALG14,black
ALG3,black
ALG6,black
ALKBH1,black
ALKBH7,black
ALKBH8,black
ALS2,black
ALS2CR8,black
ALX1,black
ALX4,black
ANG,black
ANGEL1,black
ANK1,black
ANKHD1,black
ANKRD11,black
ANKRD26,black
ANKRD27,black
ANKRD34A,black
ANKRD42,black
ANKRD43,black
ANLN,black
ANO7,black
ANTXR1,black
ANXA5,black
AP1G1,black
AP3B1,black
APC,black
APEH,black
APH1A,black
APH1B,black
API5,black
APLF,black
APLP2,black
APOA1BP,black
APPL1,black
AQP11,black
AQR,black
ARF1,black
ARF3,black
ARF6,black
ARFGEF1,black
ARFIP1,black
ARGLU1,black
ARHGAP10,black
ARHGAP12,black
ARHGAP17,black
ARHGAP18,black
ARHGAP20,black
ARHGAP22,black
ARHGAP24,black
ARHGAP29,black
ARHGEF17,black
ARL4A,black
ARMC10,black
ARMC2,black
ARNT,black
ARNTL,black
ARPC5,black
ARPC5L,black
AS3MT,black
ASB2,black
ASF1B,black
ASPM,black
ASTN1,black
ATAD2,black
ATAD3B,black
ATAD5,black
ATF2,black
ATF6,black
ATG2A,black
ATG4B,black
ATG4C,black
ATG5,black
ATM,black
ATP2A3,black
ATP2C1,black
ATP5S,black
ATP6V1H,black
ATP9A,black
ATP9B,black
ATPAF2,black
ATPBD4,black
ATPIF1,black
ATRN,black
ATXN7,black
AURKAIP1,black
AVL9,black
AVPR1A,black
B3GAT1,black
B4GALNT2,black
BACE1,black
BACH2,black
BAG2,black
BAI3,black
BAIAP2,black
BAMBI,black
BAT2,black
BAT2L2,black
BAZ2A,black
BBC3,black
BBS2,black
BBS4,black
BBS7,black
BBX,black
BCAS2,black
BCAS3,black
BCAT1,black
BCL11B,black
BCL2L2,black
BDNF,black
BDNFOS,black
BDP1,black
BEST2,black
BET1,black
BET1L,black
BFAR,black
BLZF1,black
BMP8B,black
BMPER,black
BMPR1B,black
BMS1P4,black
BNIP1,black
BNIP3L,black
BOD1,black
BRAF,black
BRD2,black
BRE,black
BRI3BP,black
BRIP1,black
BRP44,black
BRUNOL4,black
BSDC1,black
BTBD10,black
BTBD11,black
BTN1A1,black
BUB1,black
BUB1B,black
C10ORF28,black
C10ORF79,black
C10ORF88,black
C10ORF93,black
C11ORF49,black
C11ORF54,black
C11ORF57,black
C11ORF60,black
C11ORF64,black
C11ORF65,black
C11ORF67,black
C11ORF68,black
C11ORF73,black
C11ORF74,black
C11ORF82,black
C11ORF83,black
C11ORF87,black
C12ORF11,black
C12ORF23,black
C12ORF49,black
C12ORF51,black
C12ORF60,black
C13ORF23,black
C14ORF1,black
C14ORF118,black
C14ORF4,black
C15ORF40,black
C15ORF57,black
C15ORF59,black
C16ORF68,black
C16ORF80,black
C17ORF101,black
C17ORF104,black
C17ORF37,black
C17ORF47,black
C17ORF49,black
C17ORF53,black
C17ORF59,black
C17ORF61,black
C17ORF63,black
C17ORF68,black
C18ORF1,black
C18ORF21,black
C18ORF22,black
C18ORF8,black
C19ORF10,black
C19ORF2,black
C19ORF39,black
C19ORF51,black
C19ORF66,black
C1ORF105,black
C1ORF128,black
C1ORF159,black
C1ORF173,black
C1ORF183,black
C1ORF213,black
C1ORF216,black
C1ORF220,black
C1ORF58,black
C1ORF83,black
C1ORF85,black
C1ORF97,black
C20ORF117,black
C20ORF194,black
C21ORF45,black
C21ORF91,black
C2ORF28,black
C2ORF42,black
C2ORF52,black
C2ORF60,black
C2ORF63,black
C2ORF67,black
C2ORF74,black
C2ORF77,black
C2ORF84,black
C2ORF86,black
C2ORF89,black
C3ORF10,black
C3ORF21,black
C3ORF26,black
C3ORF30,black
C3ORF58,black
C3ORF67,black
C3ORF70,black
C3ORF75,black
C4ORF34,black
C4ORF37,black
C4ORF51,black
C5ORF30,black
C5ORF33,black
C5ORF34,black
C5ORF35,black
C5ORF49,black
C6ORF134,black
C6ORF147,black
C6ORF155,black
C6ORF176,black
C6ORF192,black
C6ORF217,black
C6ORF221,black
C6ORF48,black
C6ORF52,black
C7ORF30,black
C7ORF31,black
C7ORF50,black
C7ORF52,black
C7ORF70,black
C8ORF33,black
C8ORF37,black
C8ORF48,black
C8ORF71,black
C9ORF156,black
C9ORF64,black
C9ORF89,black
CACNA2D2,black
CACNB2,black
CACYBP,black
CADPS2,black
CALCA,black
CALM2,black
CALU,black
