geneSymbol,moduleColor
A2BP1,black
AAAS,black
AACS,black
AARSD1,black
ABAT,black
ABCA13,black
ABHD12B,black
ABLIM2,black
ABR,black
ACACB,black
ACAD10,black
ACADM,black
ACBD5,black
ACCS,black
ACCSL,black
ACOX3,black
ACP1,black
ACSF3,black
ACSL1,black
ACTL6A,black
ACTR1B,black
ACTR8,black
ACVRL1,black
ADAL,black
ADAM12,black
ADAM2,black
ADAMTS17,black
ADAMTSL2,black
ADARB2,black
ADCY1,black
ADCY5,black
ADCY9,black
ADCYAP1,black
ADPRHL1,black
AFAP1L1,black
AFF3,black
AGAP1,black
AGAP11,black
AGAP2,black
AGPAT1,black
AGPAT4,black
AGRN,black
AGT,black
AGTRAP,black
AHNAK,black
AHR,black
AHRR,black
AIFM2,black
AIRE,black
AKAP12,black
AKD1,black
AKR7A3,black
ALDH1A3,black
ALDOB,black
ALG14,black
ALK,black
ALOX12B,black
ALOX5,black
ALX1,black
ANK2,black
ANKRD24,black
ANKRD28,black
ANKRD56,black
ANO2,black
ANO7,black
ANO8,black
ANO9,black
AP2A2,black
AP2B1,black
AP3B1,black
APBB1,black
APBB2,black
APC2,black
APITD1,black
APOA1BP,black
APPL2,black
ARFGAP1,black
ARHGAP24,black
ARHGEF10,black
ARID1B,black
ARSA,black
ASAP3,black
ASB13,black
ASPG,black
ATAD3A,black
ATF3,black
ATF6B,black
ATG4C,black
ATM,black
ATOH8,black
ATP10A,black
ATP11A,black
ATP2B2,black
ATP5H,black
ATP5S,black
ATP6V0E2,black
ATP8A1,black
ATXN3,black
AUTS2,black
AXIN1,black
B3GAT2,black
B4GALNT1,black
B4GALNT2,black
B4GALNT4,black
B4GALT4,black
BAALC,black
BACH2,black
BANP,black
BAT1,black
BAZ2B,black
BBS10,black
BBS5,black
BCAR1,black
BCL9,black
BDNF,black
BEND4,black
BLMH,black
BMP6,black
BMP7,black
BMPER,black
BNC2,black
BOC,black
BOK,black
BOLL,black
BRD3,black
BRD8,black
BRD9,black
BRI3BP,black
BRSK2,black
BRUNOL4,black
BSN,black
BVES,black
C10ORF105,black
C10ORF110,black
C10ORF4,black
C11ORF16,black
C11ORF49,black
C11ORF87,black
C11ORF90,black
C13ORF38,black
C14ORF156,black
C14ORF23,black
C14ORF43,black
C15ORF2,black
C15ORF27,black
C15ORF61,black
C16ORF58,black
C16ORF67,black
C16ORF72,black
C16ORF80,black
C16ORF92,black
C17ORF101,black
C17ORF104,black
C19ORF20,black
C19ORF38,black
C19ORF39,black
C19ORF44,black
C19ORF45,black
C1ORF106,black
C1ORF114,black
C1ORF124,black
C1ORF125,black
C1ORF128,black
C1ORF183,black
C1ORF70,black
C22ORF45,black
C2ORF27A,black
C2ORF39,black
C3ORF14,black
C3ORF21,black
C3ORF32,black
C3ORF39,black
C3ORF57,black
C3ORF63,black
C3ORF71,black
C3P1,black
C4ORF10,black
C4ORF22,black
C4ORF23,black
C4ORF3,black
C4ORF37,black
C4ORF42,black
C4ORF6,black
C5ORF24,black
C6ORF136,black
C6ORF170,black
C6ORF173,black
C6ORF176,black
C6ORF186,black
C6ORF204,black
C6ORF48,black
C7ORF38,black
C7ORF50,black
C8ORF41,black
C8ORF42,black
C8ORF48,black
C8ORF59,black
C9,black
C9ORF16,black
C9ORF167,black
C9ORF171,black
C9ORF3,black
C9ORF7,black
CA12,black
CABP4,black
CABYR,black
CACNA1H,black
CACNA1I,black
CACNA2D3,black
CADPS,black
CALCB,black
CALN1,black
CAMKK2,black
CAMTA1,black
CAPN3,black
CAPN5,black
CAPRIN2,black
CAPZB,black
CARS2,black
CASKIN2,black
CASR,black
CASZ1,black
CATSPERB,black
CBY3,black
CCDC127,black
CCDC142,black
CCDC150,black
CCDC151,black
CCDC27,black
CCDC36,black
CCDC46,black
CCDC51,black
CCDC57,black
CCDC60,black
CCDC69,black
CCDC88B,black
CCDC99,black
CCK,black
CCNA1,black
CCNT2,black
CCR6,black
CCT5,black
CD164L2,black
CD177,black
CD200,black
CD44,black
CD59,black
CD84,black
CD8A,black
CD97,black
CDC34,black
CDC37L1,black
CDC42EP5,black
CDCA8,black
CDH2,black
CDH3,black
CDK8,black
CDKAL1,black
CDKL4,black
CDX2,black
CDYL,black
CEBPA,black
CEBPD,black
CENPBD1,black
CENPN,black
CEP192,black
CEP57,black
CEP72,black
CERKL,black
CES4,black
CFLAR,black
CHCHD4,black
CHD7,black
CHI3L1,black
CHID1,black
CHL1,black
CHRNB2,black
CHRNG,black
CHST10,black
CHST12,black
CHST6,black
CIDEA,black
CIR1,black
CKB,black
CLDN11,black
CLDN12,black
CLDN16,black
CLDN18,black
CLDN3,black
CLDN7,black
CLIC1,black
CLIC6,black
CLIP3,black
CLK2P,black
CLYBL,black
CNGA3,black
CNGB3,black
CNKSR3,black
CNNM2,black
CNOT3,black
CNOT4,black
CNR1,black
CNTNAP5,black
COG1,black
COG3,black
COG8,black
COL11A2,black
COL15A1,black
COL22A1,black
COL23A1,black
COL24A1,black
COL4A2,black
COL5A1,black
COL9A2,black
COLQ,black
COPS5,black
CORIN,black
COX10,black
COX17,black
COX8C,black
CPA6,black
CPE,black
CPN1,black
CPNE1,black
CPO,black
CPT1A,black
CPZ,black
CRABP1,black
CREB5,black
CREBBP,black
CRIM1,black
CRISP2,black
CRISPLD1,black
CRMP1,black
CROCC,black
CRTAC1,black
CRTC3,black
CRX,black
CRYBG3,black
CRYGD,black
CRYM,black
CSDE1,black
CSMD3,black
CSRP2,black
CTBP1,black
CTF1,black
CTHRC1,black
CTNNBIP1,black
CTSK,black
CTTN,black
CUEDC1,black
CUGBP2,black
CUX1,black
CUZD1,black
CXCL3,black
CXCL5,black
CYP1B1,black
CYP26A1,black
CYP2E1,black
CYTL1,black
DAB1,black
DAB2IP,black
DAPK1,black
DAPK3,black
DBC1,black
DCBLD1,black
DCLRE1A,black
DCTD,black
DCTN1,black
DDX1,black
DDX10,black
DDX31,black
DDX55,black
DENND2A,black
DENND3,black
DEPDC1B,black
DEPDC6,black
DFFB,black
DFNB31,black
DHH,black
DHRS3,black
DHX15,black
DIP2C,black
DKFZP779M0652,black
DKK2,black
DLC1,black
DLG2,black
DLG4,black
DLX6,black
DMRT1,black
DNAH10,black
DNAH17,black
DNAH2,black
DNAH5,black
DNAH9,black
DNAJC30,black
DNAJC7,black
DNAJC9,black
DNASE2B,black
DNM2,black
DNMT1,black
DOCK2,black
DPP6,black
DPYS,black
DPYSL4,black
DSCAML1,black
DSCC1,black
DTD1,black
DTYMK,black
DUSP14,black
DUSP19,black
DUSP22,black
DYSF,black
E2F6,black
EBF1,black
EBF3,black
ECHDC3,black
EDEM1,black
EEF1DP3,black
EFCAB4B,black
EFEMP1,black
EGR2,black
EHD2,black
EHMT1,black
EHMT2,black
EIF2C2,black
EIF4A3,black
EIF5,black
ELANE,black
ELF2,black
ELF5,black
ELL,black
ELL3,black
ELOVL1,black
ELOVL7,black
ELP3,black
EMILIN2,black
EOMES,black
EP400,black
EP400NL,black
EPB41L3,black
EPHA2,black
EPHB2,black
EPHB3,black
EPS8,black
ERBB2,black
ERG,black
ERICH1,black
ERP27,black
ERP29,black
ERP44,black
ESRRA,black
ESRRG,black
ESYT2,black
ETV5,black
ETV7,black
EVX1,black
EXOC2,black
EXOC3,black
EXOC7,black
EXOG,black
EXTL3,black
EYA1,black
FABP3,black
FADS6,black
FAH,black
FAM107A,black
FAM131C,black
FAM134C,black
FAM135A,black
FAM149A,black
FAM161B,black
FAM164C,black
FAM172A,black
FAM174A,black
FAM176A,black
FAM189A1,black
FAM190B,black
FAM19A5,black
FAM20A,black
FAM38A,black
FAM53B,black
FAM60A,black
FAM64A,black
FAM84A,black
FANCM,black
