geneSymbol,moduleColor
AARS,black
ABCA7,black
ABCB1,black
ABCB8,black
ABCB9,black
ABCC13,black
ABCC2,black
ABCD4,black
ABCE1,black
ABCF1,black
ABHD13,black
ABHD15,black
ABL1,black
ACAA1,black
ACACA,black
ACAP3,black
ACCN2,black
ACHE,black
ACIN1,black
ACLY,black
ACOT13,black
ACP1,black
ACPL2,black
ACTR10,black
ACTR6,black
ACVR1,black
ACVR1C,black
ACYP2,black
ADAM10,black
ADAM12,black
ADAMTS13,black
ADAMTS14,black
ADAMTS19,black
ADAMTS2,black
ADAMTS3,black
ADAMTS9,black
ADAR,black
ADARB2,black
ADAT2,black
ADC,black
ADCY6,black
ADCY9,black
ADD3,black
ADHFE1,black
ADIPOR2,black
ADRB1,black
AES,black
AGBL5,black
AGFG2,black
AGL,black
AGPAT1,black
AGPAT4,black
AGPAT9,black
AHDC1,black
AHSG,black
AK2,black
AK7,black
AKAP5,black
AKD1,black
ALCAM,black
ALDH9A1,black
ALG10B,black
ALG14,black
ALG5,black
ALG9,black
ALKBH4,black
ALKBH8,black
ALLC,black
ALS2,black
AMD1,black
AMDHD1,black
AMOTL2,black
AMZ2,black
ANAPC4,black
ANKHD1,black
ANKMY1,black
ANKRD10,black
ANKRD11,black
ANKRD17,black
ANKRD22,black
ANKRD26,black
ANKRD26P1,black
ANKRD28,black
ANKRD29,black
ANKRD39,black
ANKZF1,black
ANO6,black
ANO7,black
ANP32E,black
ANTXR1,black
ANTXR2,black
AP1G1,black
AP2S1,black
AP4E1,black
AP4M1,black
APBB1,black
APBB3,black
APC,black
APH1A,black
APH1B,black
APLP2,black
APOLD1,black
ARF6,black
ARFGEF1,black
ARFRP1,black
ARHGAP1,black
ARHGAP12,black
ARHGEF12,black
ARHGEF16,black
ARHGEF17,black
ARHGEF18,black
ARHGEF19,black
ARL5B,black
ARL6IP1,black
ARPC2,black
ARPP19,black
ASB1,black
ASB2,black
ASCL2,black
ASH2L,black
ASPM,black
ATAD2B,black
ATF6B,black
ATG4B,black
ATG7,black
ATIC,black
ATM,black
ATMIN,black
ATN1,black
ATOX1,black
ATP2B4,black
ATP6V0C,black
ATP6V0E1,black
ATP6V1A,black
ATP6V1B2,black
ATP6V1H,black
ATP8A2,black
ATP8B2,black
ATXN1,black
ATXN7,black
AURKAIP1,black
AUTS2,black
AVL9,black
AZIN1,black
B3GALNT2,black
B3GALT4,black
B4GALNT1,black
BAT1,black
BAT2,black
BAT3,black
BAT4,black
BATF3,black
BAZ1A,black
BBS12,black
BBX,black
BCAS2,black
BCCIP,black
BCKDHB,black
BCL6,black
BDNF,black
BDNFOS,black
BEND3,black
BET1L,black
BLCAP,black
BLMH,black
BMI1,black
BMP2K,black
BMP7,black
BNC1,black
BNIP2,black
BOLL,black
BPHL,black
BRAF,black
BRCA2,black
BRD2,black
BRD8,black
BRF1,black
BRP44,black
BRP44L,black
BRSK2,black
BTBD12,black
BTBD8,black
BTG2,black
BTRC,black
BUB1,black
BUB1B,black
BVES,black
BZW2,black
C10ORF114,black
C10ORF2,black
C10ORF25,black
C10ORF4,black
C10ORF46,black
C10ORF67,black
C10ORF78,black
C10ORF79,black
C11ORF1,black
C11ORF10,black
C11ORF46,black
C11ORF60,black
C11ORF64,black
C11ORF65,black
C11ORF73,black
C11ORF75,black
C11ORF90,black
C11ORF91,black
C12ORF35,black
C12ORF43,black
C12ORF57,black
C12ORF72,black
C13ORF18,black
C13ORF23,black
C13ORF38,black
C14ORF1,black
C14ORF179,black
C14ORF23,black
C14ORF33,black
C14ORF37,black
C14ORF79,black
C14ORF80,black
C15ORF59,black
C16ORF53,black
C16ORF55,black
C16ORF75,black
C17ORF101,black
C17ORF58,black
C17ORF68,black
C19ORF39,black
C19ORF61,black
C1ORF124,black
C1ORF156,black
C1ORF183,black
C1ORF190,black
C1ORF220,black
C1ORF51,black
C1ORF52,black
C1ORF56,black
C1ORF58,black
C1ORF77,black
C1ORF9,black
C1ORF95,black
C1QTNF1,black
C2ORF28,black
C2ORF3,black
C2ORF42,black
C2ORF44,black
C2ORF52,black
C2ORF63,black
C2ORF64,black
C2ORF69,black
C2ORF70,black
C2ORF86,black
C2ORF89,black
C3ORF1,black
C3ORF25,black
C3ORF26,black
C3ORF32,black
C3ORF39,black
C3ORF59,black
C3ORF70,black
C3ORF75,black
C4ORF19,black
C4ORF29,black
C4ORF3,black
C4ORF41,black
C4ORF44,black
C4ORF46,black
C4ORF51,black
C5ORF22,black
C5ORF24,black
C5ORF34,black
C5ORF42,black
C5ORF44,black
C5ORF51,black
C6ORF124,black
C6ORF134,black
C6ORF155,black
C6ORF173,black
C6ORF174,black
C6ORF211,black
C6ORF48,black
C6ORF52,black
C6ORF70,black
C7ORF36,black
C7ORF64,black
C8G,black
C8ORF37,black
C8ORF41,black
C8ORF71,black
C8ORF76,black
C9ORF106,black
C9ORF116,black
C9ORF156,black
C9ORF68,black
CA2,black
CAB39,black
CACNA1C,black
CACNA1E,black
CACNA1H,black
CADM4,black
CADPS,black
CADPS2,black
CALD1,black
CALM2,black
CAMK2B,black
CAMK4,black
CAMTA1,black
CAP1,black
CAPN3,black
CAPRIN1,black
CAPZA1,black
CARHSP1,black
CARS,black
CARS2,black
CASC1,black
CASC3,black
CASC5,black
CASP9,black
CAT,black
CBFB,black
CBLL1,black
CBLN1,black
CCDC104,black
CCDC12,black
CCDC23,black
CCDC39,black
CCDC41,black
CCDC53,black
CCDC62,black
CCDC64,black
CCDC85A,black
CCDC90A,black
CCDC99,black
CCHCR1,black
CCM2,black
CCND1,black
CCNDBP1,black
CCNG1,black
CCNL1,black
CCPG1,black
CCT5,black
CCT6P1,black
CD200,black
CD82,black
CDC16,black
CDC20,black
CDC42SE1,black
CDC6,black
CDCA8,black
CDH10,black
CDH18,black
CDH8,black
CDK1,black
CDK19,black
CDK2AP1,black
CDK5RAP2,black
CDK7,black
CDKL1,black
CDKN2AIP,black
CDKN2C,black
CDV3,black
CDYL,black
CENPL,black
CENPN,black
CEP63,black
CEP68,black
CEP72,black
CEP97,black
CEPT1,black
CES4,black
CETN3,black
CFLAR,black
CHCHD1,black
CHD1L,black
CHD6,black
CHD9,black
CHIC2,black
CHMP6,black
CHRNA7,black
CHST6,black
CHSY1,black
CHUK,black
CHURC1,black
CIAO1,black
CIB4,black
CIR1,black
CITED2,black
CKAP5,black
CLASP1,black
CLDN7,black
CLDND1,black
CLIP3,black
CLK1,black
CLN3,black
CLP1,black
CLPX,black
CLSTN3,black
CMBL,black
CMTM7,black
CNO,black
CNOT2,black
CNP,black
CNPY3,black
COG3,black
COG5,black
COG6,black
COL11A2,black
COMMD2,black
COMMD5,black
COPS4,black
COPZ1,black
COQ10B,black
COQ5,black
CORO1C,black
COX16,black
COX5B,black
COX7A2,black
COX7A2L,black
COX8C,black
CPAMD8,black
CPLX2,black
CPSF6,black
CPT2,black
CRBN,black
CREB1,black
CREB3L2,black
CREB5,black
CREM,black
CRTAP,black
CRTC3,black
CSF1,black
CSGALNACT1,black
CSMD1,black
CSMD3,black
CSPP1,black
CSTF3,black
CTBS,black
CTDSPL,black
CTR9,black
CTSB,black
CTTNBP2NL,black
CUEDC1,black
CUEDC2,black
CUL1,black
CWF19L1,black
CXXC5,black
CYFIP2,black
CYP1A1,black
CYP26B1,black
CYP2R1,black
CYP7B1,black
CYR61,black
CYTH3,black
DAAM1,black
DAB2IP,black
DAPK1,black
DAZAP2,black
DBP,black
DBR1,black
DCAF11,black
DCAKD,black
DCLK2,black
DCLRE1C,black
DCPS,black
DCTD,black
DCTN4,black
DCTN6,black
DCUN1D5,black
DDC,black
DDHD1,black
DDI2,black
DDR1,black
DDX17,black
DDX18,black
DDX24,black
DDX46,black
DDX49,black
DDX50,black
DDX55,black
DDX58,black
DDX60,black
DDX60L,black
DECR1,black
DEGS1,black
DEPDC6,black
DERL2,black
DGKG,black
DGUOK,black
DHRS1,black
DHRS12,black
DHRS7B,black
DHX16,black
DHX29,black
DHX30,black
DIAPH1,black
DIAPH3,black
DIP2C,black
DIRAS1,black
DIRC2,black
DKFZP761E198,black
DLEU2,black
DLG2,black
DLGAP4,black
DLL3,black
DLX6AS,black
DMXL1,black
DNAH17,black
DNAH6,black
DNAJA1,black
DNAJB11,black
DNAJB12,black
DNAJB5,black
DNAJB6,black
DNAJC13,black
DNAJC16,black
DNAJC18,black
DNAJC21,black
DNAJC24,black
DNAJC27,black
DNAJC30,black
DNAJC6,black
DND1,black
DNER,black
DNM1L,black
DNM3,black
DOC2A,black
DOK4,black
