geneSymbol,moduleColor
AACSL,bisque4
AARS,bisque4
AATK,bisque4
ABCA5,bisque4
ABCE1,bisque4
ABCF3,bisque4
ABR,bisque4
ACACA,bisque4
ACBD6,bisque4
ACTL7A,bisque4
ACTL9,bisque4
ACTR3B,bisque4
ACTR6,bisque4
ACYP1,bisque4
ADAM22,bisque4
ADAM7,bisque4
ADAMTS17,bisque4
ADAMTS19,bisque4
ADAMTS20,bisque4
ADAMTS3,bisque4
ADAMTS9,bisque4
ADAR,bisque4
ADCY8,bisque4
ADD1,bisque4
ADSL,bisque4
AFTPH,bisque4
AGAP1,bisque4
AGBL5,bisque4
AHI1,bisque4
AHNAK2,bisque4
AHSG,bisque4
AK7,bisque4
AKAP12,bisque4
AKTIP,bisque4
ALDH1A2,bisque4
ALG12,bisque4
ALOX12P2,bisque4
ALPL,bisque4
AMBRA1,bisque4
AMD1,bisque4
ANAPC5,bisque4
ANGEL1,bisque4
ANK1,bisque4
ANK2,bisque4
ANXA13,bisque4
AP2B1,bisque4
AP3S2,bisque4
AP4E1,bisque4
APBA1,bisque4
APBB2,bisque4
API5,bisque4
APOB,bisque4
APPL1,bisque4
AQP5,bisque4
ARFGAP2,bisque4
ARID4A,bisque4
ARIH2,bisque4
ARL4C,bisque4
ARMC3,bisque4
ARMC7,bisque4
ASAH1,bisque4
ASPA,bisque4
ASXL1,bisque4
ATG2B,bisque4
ATG7,bisque4
ATN1,bisque4
ATP10A,bisque4
ATP10D,bisque4
ATP11A,bisque4
ATP13A1,bisque4
ATP1B2,bisque4
ATP2C1,bisque4
ATP4A,bisque4
ATP5G1,bisque4
ATP5J,bisque4
ATP5O,bisque4
ATP8B3,bisque4
AVPR1A,bisque4
B3GNT2,bisque4
B4GALT5,bisque4
BACH2,bisque4
BANP,bisque4
BASP1,bisque4
BAT4,bisque4
BAT5,bisque4
BAZ1A,bisque4
BCAS3,bisque4
BCL11B,bisque4
BCL2L1,bisque4
BCS1L,bisque4
BDNF,bisque4
BHLHE22,bisque4
BICC1,bisque4
BLOC1S3,bisque4
BMF,bisque4
BMP2K,bisque4
BNC1,bisque4
BRCA1,bisque4
BRD2,bisque4
BRF1,bisque4
BRF2,bisque4
BRP44,bisque4
BRUNOL4,bisque4
BRWD1,bisque4
BSG,bisque4
BTNL9,bisque4
BUB1,bisque4
BUB1B,bisque4
BUD13,bisque4
C10ORF140,bisque4
C10ORF41,bisque4
C10ORF46,bisque4
C10ORF71,bisque4
C10ORF78,bisque4
C11ORF65,bisque4
C11ORF74,bisque4
C11ORF83,bisque4
C12ORF10,bisque4
C12ORF42,bisque4
C13ORF23,bisque4
C13ORF33,bisque4
C13ORF36,bisque4
C14ORF129,bisque4
C14ORF133,bisque4
C14ORF166,bisque4
C14ORF23,bisque4
C14ORF33,bisque4
C14ORF43,bisque4
C15ORF33,bisque4
C16ORF35,bisque4
C17ORF79,bisque4
C18ORF56,bisque4
C19ORF40,bisque4
C19ORF51,bisque4
C19ORF6,bisque4
C19ORF66,bisque4
C1ORF183,bisque4
C1ORF21,bisque4
C1ORF57,bisque4
C1ORF85,bisque4
C1QTNF2,bisque4
C1RL,bisque4
C20ORF112,bisque4
C20ORF132,bisque4
C20ORF194,bisque4
C20ORF72,bisque4
C22ORF13,bisque4
C2ORF63,bisque4
C3ORF19,bisque4
C3ORF39,bisque4
C3ORF57,bisque4
C4ORF34,bisque4
C5ORF34,bisque4
C5ORF41,bisque4
C6ORF10,bisque4
C6ORF103,bisque4
C6ORF134,bisque4
C6ORF163,bisque4
C6ORF168,bisque4
C6ORF35,bisque4
C6ORF48,bisque4
C6ORF57,bisque4
C7ORF46,bisque4
C7ORF50,bisque4
C7ORF58,bisque4
C7ORF70,bisque4
C8ORF79,bisque4
C9ORF125,bisque4
C9ORF171,bisque4
C9ORF7,bisque4
CA8,bisque4
CABLES2,bisque4
CACHD1,bisque4
CACNA2D1,bisque4
CACNA2D3,bisque4
CADM1,bisque4
CADPS2,bisque4
CALU,bisque4
CAMTA1,bisque4
CAP1,bisque4
CARD10,bisque4
CASKIN2,bisque4
CASP9,bisque4
CBR4,bisque4
CBX1,bisque4
CBX6,bisque4
CCDC12,bisque4
CCDC137,bisque4
CCDC157,bisque4
CCDC52,bisque4
CCDC53,bisque4
CCDC55,bisque4
CCDC59,bisque4
CCDC66,bisque4
CCDC92,bisque4
CCL2,bisque4
CCNA1,bisque4
CCNE1,bisque4
CCNG1,bisque4
CCNJL,bisque4
CD164,bisque4
CDC20,bisque4
CDC6,bisque4
CDH15,bisque4
CDK7,bisque4
CDKN2C,bisque4
CDS2,bisque4
CEBPG,bisque4
CEND1,bisque4
CENPF,bisque4
CENPQ,bisque4
CEP63,bisque4
CEP97,bisque4
CFDP1,bisque4
CFLAR,bisque4
CHAT,bisque4
CHKA,bisque4
CHODL,bisque4
CHORDC1,bisque4
CHRND,bisque4
CIC,bisque4
CIRBP,bisque4
CISH,bisque4
CLASP2,bisque4
CLCN3,bisque4
CLDN11,bisque4
CLEC16A,bisque4
CLEC4C,bisque4
CLEC9A,bisque4
CLIC6,bisque4
CLSTN3,bisque4
CMPK1,bisque4
CNNM1,bisque4
CNR1,bisque4
CNTN5,bisque4
COL9A3,bisque4
COMT,bisque4
CPA4,bisque4
CPE,bisque4
CPNE1,bisque4
CPOX,bisque4
CR2,bisque4
CRADD,bisque4
CRTAP,bisque4
CRYZL1,bisque4
CSK,bisque4
CSMD3,bisque4
CSN3,bisque4
CTBP2,bisque4
CTNNB1,bisque4
CTSO,bisque4
CUL2,bisque4
CUX1,bisque4
CXCL12,bisque4
CXXC4,bisque4
CYB5A,bisque4
CYFIP1,bisque4
CYP19A1,bisque4
CYP1B1,bisque4
CYP2E1,bisque4
DAB1,bisque4
DACT2,bisque4
DAG1,bisque4
DCAF11,bisque4
DCLRE1A,bisque4
DCP1A,bisque4
DCPS,bisque4
DCTN2,bisque4
DCTPP1,bisque4
DDAH2,bisque4
DDHD2,bisque4
DDI2,bisque4
DDX17,bisque4
DDX21,bisque4
DDX39,bisque4
DDX52,bisque4
DECR1,bisque4
DECR2,bisque4
DEFB134,bisque4
DENND5A,bisque4
DENND5B,bisque4
DEPDC1,bisque4
DHX16,bisque4
DHX29,bisque4
DIP2C,bisque4
DKFZP686O24166,bisque4
DKK1,bisque4
DLG2,bisque4
DLGAP3,bisque4
DLK1,bisque4
DMAP1,bisque4
DMC1,bisque4
DMRTA2,bisque4
DNAJC11,bisque4
DOCK5,bisque4
DOK5,bisque4
DPP3,bisque4
DPY30,bisque4
DPYSL5,bisque4
