geneSymbol,moduleColor
AACS,black
AARS,black
AARSD1,black
ABCB1,black
ABCD3,black
ABI2,black
ABL2,black
ACACA,black
ACBD6,black
ACTR6,black
ADAM10,black
ADAMTS16,black
ADAMTS8,black
ADCY10,black
ADIPOR1,black
ADK,black
AFAP1,black
AFF1,black
AFF3,black
AFF4,black
AGMAT,black
AGPAT1,black
AGPAT4,black
AGTRAP,black
AHDC1,black
AK1,black
AKAP12,black
AKAP6,black
ALG3,black
ALG5,black
ALG9,black
ALKBH6,black
AMFR,black
ANK3,black
ANKLE2,black
ANKRD11,black
ANKRD26P1,black
ANKRD30A,black
ANKRD49,black
ANP32A,black
ANP32E,black
AOX1,black
AP1G2,black
AP1M1,black
AP5Z1,black
APBB1,black
APOL6,black
APOLD1,black
APTX,black
ARCN1,black
ARHGAP12,black
ARHGEF2,black
ARID5B,black
ARIH1,black
ARMC4,black
ARMC8,black
ARPC2,black
ASB1,black
ASNA1,black
ASNS,black
ASPA,black
ASTN2,black
ASZ1,black
ATG16L1,black
ATG7,black
ATP1B2,black
ATP2A2,black
ATP2B4,black
ATP5O,black
ATP6V0C,black
ATPAF1,black
ATR,black
ATXN7L2,black
AUTS2,black
B3GNT2,black
B4GALNT1,black
BACE2,black
BAG2,black
BAT3,black
BAT5,black
BAZ2A,black
BBS5,black
BBX,black
BCL11B,black
BCL6,black
BCO2,black
BCR,black
BDNF,black
BHLHE22,black
BLOC1S3,black
BMP6,black
BPI,black
BRD2,black
BTBD3,black
BTF3,black
BTG2,black
BUB1,black
C10ORF11,black
C10ORF140,black
C10ORF46,black
C11ORF49,black
C11ORF54,black
C11ORF58,black
C11ORF65,black
C11ORF80,black
C12ORF61,black
C12ORF62,black
C13ORF34,black
C14ORF119,black
C14ORF132,black
C17ORF49,black
C18ORF19,black
C18ORF25,black
C19ORF43,black
C19ORF57,black
C19ORF73,black
C1ORF101,black
C1ORF144,black
C1ORF183,black
C1ORF52,black
C1ORF95,black
C1QTNF4,black
C4ORF10,black
C5ORF45,black
C6ORF106,black
C6ORF130,black
C7ORF25,black
C7ORF50,black
C7ORF51,black
C7ORF66,black
C8ORF41,black
C8ORF42,black
C8ORF83,black
C9ORF129,black
C9ORF170,black
CA1,black
CACNA1B,black
CACNA1E,black
CACNB4,black
CACNG2,black
CACNG4,black
CACNG8,black
CAGE1,black
CAMK2N1,black
CAMLG,black
CARD11,black
CASP9,black
CAST,black
CBX7,black
CC2D2A,black
CCDC104,black
CCDC178,black
CCDC3,black
CCDC71,black
CCL26,black
CCR10,black
CCSER1,black
CCT7,black
CD101,black
CD46,black
CD8A,black
CDC73,black
CDCA2,black
CDCA8,black
CDH15,black
CDK14,black
CDK7,black
CELF2,black
CELF2-AS1,black
CENPH,black
CENPL,black
CENPO,black
CEP55,black
CEP57L1,black
CES5A,black
CETN3,black
CFL2,black
CGGBP1,black
CHAT,black
CHCHD6,black
CHD8,black
CHIT1,black
CHL1,black
CHPF2,black
CHRDL2,black
CHRNG,black
CISD2,black
CKS1B,black
CLDND1,black
CLEC2D,black
CLEC4GP1,black
CLIC4,black
CLPX,black
CNOT11,black
CNOT4,black
CNTNAP2,black
COL11A1,black
COL24A1,black
COL25A1,black
COL4A3BP,black
COPE,black
COPS5,black
CPEB4,black
CPNE8,black
CRK,black
CRTC2,black
CRYZ,black
CSGALNACT2,black
CSMD2,black
CSNK1E,black
CSPP1,black
CTBP1,black
CTSV,black
CTTN,black
CUL3,black
CUTA,black
CWF19L1,black
CYB5RL,black
CYP2J2,black
CYP4V2,black
DANCR,black
DAZAP2,black
DBF4B,black
DCAF4,black
DCBLD1,black
DCHS1,black
DCTPP1,black
DCUN1D4,black
DDHD2,black
DDR1,black
DDRGK1,black
DDX17,black
DDX20,black
DDX39,black
DDX47,black
DEDD2,black
DEFB116,black
DGKA,black
DGKD,black
DHCR24,black
DHRS7,black
DHX16,black
DKK2,black
DKK3,black
DLC1,black
DLX5,black
DNAH11,black
DNAJC14,black
DNAJC6,black
DNLZ,black
DOK6,black
DPH2,black
DPP6,black
DPY19L1,black
DPYSL2,black
DR1,black
DRAM1,black
DSCAM,black
DSCAML1,black
DSCR3,black
DSE,black
DSEL,black
DUS2L,black
DUSP12,black
DUSP14,black
DUSP27,black
DUSP6,black
DVL2,black
DYNC1I2,black
DYNC1LI2,black
DYNC2LI1,black
DYNLT1,black
DYRK3,black
EBF2,black
EBF3,black
EEA1,black
EEF1A1,black
EEF2K,black
EFCAB5,black
EFHC1,black
EFNA5,black
EGFLAM,black
EGR3,black
EID2,black
EIF3IP1,black
ELMO1,black
ELOVL3,black
EME1,black
EML2,black
ENPEP,black
ENPP1,black
ENPP2,black
ENPP4,black
EPAS1,black
EPB41L5,black
EPC2,black
ERG,black
ERH,black
ERI3,black
ERRFI1,black
ESYT2,black
ETV5,black
EXT1,black
FA2H,black
FADS3,black
FAM104A,black
FAM117B,black
FAM134C,black
FAM161A,black
FAM162A,black
FAM164C,black
FAM167A,black
FAM168A,black
FAM171B,black
FAM174A,black
FAM184A,black
FAM190A,black
FAM196B,black
FAM227A,black
FAM71E1,black
FAM89B,black
FASTK,black
FBLN7,black
FBP1,black
FBXO42,black
FBXW8,black
FCRL6,black
FER,black
FGF5,black
FGGY,black
FIGN,black
FIS1,black
FKBP15,black
FLI1,black
FLJ36031,black
FLJ43663,black
FLT4,black
FLVCR1,black
