gene_symbol,log2_fold_change,nominal_p,adjusted_p,direction
STEAP4,1.7437094645517548,1.1243035329817998e-4,0.00352287383964701,Upregulated
SMAD9,0.5657743027811728,1.3659131274174936e-4,0.00385828983400479,Upregulated
MECR,-0.2670043274337748,2.352182253583846e-4,0.00511783022346813,Downregulated
TFAP2A,0.9207989753984048,0.00140887493910968,0.01458963556355081,Upregulated
LMTK2,-0.3315881897168369,0.0016842418451254,0.01608985214984932,Downregulated
ADO,-0.22241258993707724,0.00171686206226262,0.01626783151888594,Downregulated
CYP2E1,-0.4756161754455486,0.00185103925751856,0.01706037106962616,Downregulated
COX10,-0.198753890915206,0.00196472206679345,0.0177007978964253,Downregulated
BMP6,0.9236394400893628,0.00213022331584817,0.01864034457525845,Upregulated
LYRM4,-0.24089874708264203,0.00215725458286206,0.01876601574421269,Downregulated
SLC39A1,0.3151369924792249,0.00327093876316641,0.02442106686532103,Upregulated
ATP13A2,-0.26341939732571173,0.00339460082044313,0.02494817056625534,Downregulated
MT3,0.3627068003010052,0.00409787324658787,0.02810373031596684,Upregulated
ALOX5,0.6022955528193115,0.00455463459192362,0.02987560534113238,Upregulated
AOX1,0.9724226801543652,0.00515604502407097,0.0324087622819308,Upregulated
ARF1,-0.16787398177596025,0.0051900237958824,0.0325636654890931,Downregulated
CAT,0.3563467745811808,0.00539947594239614,0.03330870349257107,Upregulated
SNCA,-0.4139041712636802,0.00720242895508215,0.03992426918930737,Downregulated
SLC25A39,0.17397510056020327,0.00833605625782593,0.04370138114505591,Upregulated
FECH,-0.1834657484541169,0.00850204742838882,0.04419240555271782,Downregulated
NUBP1,0.22068094620726345,0.00887664717802385,0.04535647856219852,Upregulated
NDFIP1,-0.2745822976120893,0.00901534239247615,0.0457304148434914,Downregulated
PLOD3,0.33477976484614125,0.00964892011844195,0.04763244032997842,Upregulated
SMAD1,0.20668304273710936,0.00990443821387986,0.04842555390206013,Upregulated
ACO2,-0.1737808495751363,0.01031857866535192,0.04957494167085784,Downregulated
