gene_symbol,log2_fold_change,nominal_p,adjusted_p
S100A4,2.4268561455748854,8.03245960688712e-10,1.3696402757870477e-5
LOC105374524,-1.6451501495734815,1.592434149727812e-9,1.3696402757870477e-5
ADAMTS2,1.2509615350230137,1.9630790823950806e-9,1.3696402757870477e-5
KCNH4,-1.341860143060167,7.335905179335515e-9,3.838695782716792e-5
SNORA49,1.121501029180215,2.6120011323010203e-8,9.111965950032109e-5
LINC02717,-1.9596929461931736,6.064870439491798e-8,1.8134829024143265e-4
CHML,-0.6615873243849784,8.075061853987746e-8,1.987630378472892e-4
LRRC75A,-0.5803389506367225,9.412203834409297e-8,1.987630378472892e-4
GRIPAP1,-0.3096433172496118,9.991179826535145e-8,1.987630378472892e-4
C17ORF107,-0.5478023816261359,1.0896216181027269e-7,1.987630378472892e-4
TEAD2,1.1341339891333888,1.2312987366053464e-7,1.987630378472892e-4
UNC13C,-0.6362387977572981,1.2344940480697336e-7,1.987630378472892e-4
TMEM132E-DT,-1.2864417949676632,1.3526801689760078e-7,2.022353472631201e-4
AEBP1,1.3294450862223537,1.555750017502187e-7,2.1708935744225516e-4
METTL7B,1.0905433732970031,1.7992387185471958e-7,2.2174371713963112e-4
NEU3,-0.3780611520527355,2.0308343105093418e-7,2.2174371713963112e-4
GLI1,1.5781489847470538,2.106670273378661e-7,2.2174371713963112e-4
CINP,-0.34016790302548205,2.2586683856490437e-7,2.2174371713963112e-4
IL1RL2,-0.9711827963449028,2.532194041732068e-7,2.2174371713963112e-4
TRIP10,1.0359821846115862,2.5615778075046386e-07,2.2174371713963112e-4
GMPR,1.3504218415908618,2.5714673352069816e-7,2.2174371713963112e-4
ST6GAL2,-0.6769390079079143,2.648508398304323e-7,2.2174371713963112e-4
SLC7A2,1.2877995560968791,2.902603164151859e-7,2.336707185725483e-4
TRIM54,-1.3172757646296425,3.187095877000466e-7,2.3801932632627016e-4
NFATC4,0.8652204688287926,3.205048428005643e-7,2.3801932632627016e-4
FOXJ1,1.7249845268846409,3.411485256217144e-7,2.3801932632627016e-4
NFKBIA,0.7346086614130032,3.637893621863432e-7,2.3812947382667585e-4
PI16,1.2410909425192544,3.6406015777811033e-7,2.3812947382667585e-4
SNORA54,1.4109234635772891,3.7703977258141746e-7,2.391460448455045e-4
ZBBX,-0.9280551266215192,4.1145033954434753e-7,2.4502039315654354e-4
FZD7,0.9602088758181058,4.1830831922774353e-7,2.4502039315654354e-4
HR,-0.6876645253503506,4.357140588889206e-7,2.4502039315654354e-4
EMP3,1.170492678155496,4.498208762848755e-7,2.4502039315654354e-4
PRDM2,-0.42132232574903394,4.550449855339098e-7,2.4502039315654354e-4
RN7SL449P,1.1007194374985674,4.66227237446038e-7,2.4502039315654354e-4
EMBP1,-0.7572331964831402,4.767718488240265e-7,2.4502039315654354e-4
LURAP1,-0.360996534240535,4.799501275341974e-7,2.4502039315654354e-4
KCNK4,-0.7282786455405597,4.923541845338026e-7,2.453682246780243e-4
UHRF1,0.8242873833727997,5.151875210230677e-7,2.5077651168683323e-4
LINC01354,1.1254746956069015,5.612959154362047e-7,2.6701101831807275e-4
LRTM2,-0.7478085122610003,6.445696254327729e-7,2.961135131235114e-4
SMAD4,0.3897283932659308,6.649149642542179e-7,2.961135131235114e-4
DIO3,1.135811425697078,7.607011217637452e-7,3.259492926529007e-4
