module_id,gene_symbol,copper,broad_iron,core_iron,module_order,disease_group,cohort,module_colour
AD_ERC_greenyellow,ABCB6,FALSE,TRUE,TRUE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,ALOX5,FALSE,TRUE,TRUE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,ANG,TRUE,FALSE,FALSE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,COX17,TRUE,FALSE,FALSE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,CYP2E1,FALSE,TRUE,FALSE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,DAXX,TRUE,FALSE,FALSE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,LMTK2,FALSE,TRUE,TRUE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,MUC2,TRUE,FALSE,FALSE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,PXDN,FALSE,TRUE,FALSE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,S100A5,TRUE,FALSE,FALSE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,SNCA,TRUE,TRUE,TRUE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_greenyellow,STC2,FALSE,TRUE,FALSE,1,Alzheimer's disease,ERC,greenyellow
AD_ERC_darkred,ACP5,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,ADO,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,ALOX5,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,ATP6V0D1,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,BCL2,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,CCS,TRUE,FALSE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,CISD3,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,CYP2E1,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,CYP46A1,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,DAXX,TRUE,FALSE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,EGLN1,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,GPC1,TRUE,FALSE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,HEBP1,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,KCNH7,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,LOXL2,TRUE,FALSE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,MT3,TRUE,FALSE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,NDUFS2,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,NDUFS4,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,NFU1,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,NOS3,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,NOX4,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,PXDN,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,SLC25A37,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,SLC39A14,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,SLC40A1,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,STC2,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,STEAP4,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,SUMF1,TRUE,FALSE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,TBXAS1,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred
AD_ERC_darkred,TFR2,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred
AD_HIPPO_yellow,ACO2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,ANG,TRUE,FALSE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,ARF1,TRUE,FALSE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,ARHGAP1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,ATP6V0A2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,ATP6V0D1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,B2M,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,BCL2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,CDO1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,COX17,TRUE,FALSE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,CYB5B,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,CYP51A1,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,DAXX,TRUE,FALSE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,DNAJC24,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,DNM2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,DUOX1,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,EIF2AK1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,FBXL5,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,FTH1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,GLRX3,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,IREB2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,KCNH7,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,MCOLN1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,NDUFS4,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,PXDN,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC25A37,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC30A1,TRUE,FALSE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC39A1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC46A1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,SLC48A1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,STC2,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,TET2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
AD_HIPPO_yellow,TFAP2A,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow
FTLD1_red,ACO1,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red
FTLD1_red,COMMD1,TRUE,FALSE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red
