gene_symbol,AD_ERC_greenyellow,AD_ERC_darkred,AD_HIPPO_yellow,FTLD1_red,FTLD2_darkmagenta,FTLD3_black,FTLD3_turquoise,MSA_violet,PSP_pink
BCL2,0,1,1,0,1,1,1,1,1
PXDN,1,1,1,0,1,1,1,0,0
KCNH7,0,1,1,0,0,1,1,1,0
LMTK2,1,0,0,1,1,1,1,0,0
NDUFS4,0,1,1,1,0,1,1,0,0
STC2,1,1,1,0,1,1,0,0,0
ACO1,0,0,0,1,0,1,1,1,0
ALOX5,1,1,0,0,0,1,0,0,1
ATP6V0D1,0,1,1,0,1,1,0,0,0
BMP6,0,0,0,0,1,1,1,1,0
CYB5B,0,0,1,0,0,1,1,0,1
CYP51A1,0,0,1,1,0,1,1,0,0
DNAJC24,0,0,1,0,1,0,1,1,0
FTH1,0,0,1,0,0,1,1,0,1
MYC,0,0,0,0,1,1,1,1,0
NFU1,0,1,0,0,0,1,1,0,1
SLC39A1,0,0,1,0,1,1,1,0,0
SNCA,1,0,0,0,0,1,1,0,1
ABCB6,1,0,0,0,0,1,1,0,0
ADO,0,1,0,0,0,0,1,0,1
ATP6V0A2,0,0,1,0,0,1,1,0,0
ATP6V1A,0,0,0,0,0,0,1,1,1
B2M,0,0,1,0,0,0,1,0,1
CAT,0,0,0,0,0,1,1,0,1
CYP27A1,0,0,0,1,0,1,0,1,0
CYP2E1,1,1,0,0,0,1,0,0,0
DNM2,0,0,1,0,0,1,1,0,0
DOHH,0,0,0,0,1,1,1,0,0
DUOX1,0,0,1,0,0,1,1,0,0
EIF2AK1,0,0,1,0,0,1,1,0,0
FBXL5,0,0,1,1,0,1,0,0,0
FTO,0,0,0,0,0,1,1,0,1
GLRX3,0,0,1,0,0,0,1,1,0
NDUFS8,0,0,0,0,1,1,1,0,0
NEO1,0,0,0,0,1,1,0,1,0
NUBP1,0,0,0,0,0,1,1,0,1
NUBPL,0,0,0,0,0,1,1,1,0
SLC25A37,0,1,1,0,0,1,0,0,0
SLC40A1,0,1,0,0,1,0,1,0,0
SLC46A1,0,0,1,0,1,1,0,0,0
TET2,0,0,1,0,1,0,0,1,0
ACO2,0,0,1,0,0,0,1,0,0
ARHGAP1,0,0,1,0,1,0,0,0,0
CIAPIN1,0,0,0,0,0,1,1,0,0
CLTC,0,0,0,0,0,0,1,1,0
CPOX,0,0,0,1,0,1,0,0,0
CYP46A1,0,1,0,0,0,0,0,1,0
DGCR8,0,0,0,0,1,0,1,0,0
EGLN1,0,1,0,0,0,0,1,0,0
FECH,0,0,0,0,0,1,1,0,0
GLRX5,0,0,0,0,0,1,1,0,0
HIF1A,0,0,0,0,1,1,0,0,0
HMOX2,0,0,0,0,1,0,1,0,0
IREB2,0,0,1,0,0,1,0,0,0
ISCU,0,0,0,1,0,0,1,0,0
KDM3A,0,0,0,0,0,1,1,0,0
LYRM4,0,0,0,0,0,1,0,0,1
MCOLN1,0,0,1,0,0,0,1,0,0
MECR,0,0,0,0,0,1,0,1,0
NDUFAB1,0,0,0,1,0,0,1,0,0
NDUFS2,0,1,0,0,0,0,0,0,1
NDUFS3,0,0,0,0,0,0,1,0,1
NDUFS7,0,0,0,1,0,0,1,0,0
NOX4,0,1,0,0,0,0,0,0,1
NR1D1,0,0,0,0,0,1,1,0,0
PGRMC2,0,0,0,0,0,1,1,0,0
PICALM,0,0,0,0,0,0,1,1,0
PPOX,0,0,0,0,0,1,1,0,0
SLC25A39,0,0,0,0,0,1,1,0,0
SLC39A14,0,1,0,0,0,0,1,0,0
SLC39A8,0,0,0,0,0,0,1,0,1
SLC48A1,0,0,1,0,0,1,0,0,0
SMAD1,0,0,0,0,0,1,1,0,0
STEAP4,0,1,0,1,0,0,0,0,0
TBXAS1,0,1,0,0,0,1,0,0,0
TET1,0,0,0,0,0,1,0,1,0
TFAP2A,0,0,1,0,0,0,1,0,0
