query,gene_symbol
Recurrent_broad_iron,ABCB6
Recurrent_broad_iron,ACO1
Recurrent_broad_iron,ACO2
Recurrent_broad_iron,ADO
Recurrent_broad_iron,ALOX5
Recurrent_broad_iron,ARHGAP1
Recurrent_broad_iron,ATP6V0A2
Recurrent_broad_iron,ATP6V0D1
Recurrent_broad_iron,ATP6V1A
Recurrent_broad_iron,B2M
Recurrent_broad_iron,BCL2
Recurrent_broad_iron,BMP6
Recurrent_broad_iron,CAT
Recurrent_broad_iron,CIAPIN1
Recurrent_broad_iron,CLTC
Recurrent_broad_iron,CPOX
Recurrent_broad_iron,CYB5B
Recurrent_broad_iron,CYP27A1
Recurrent_broad_iron,CYP2E1
Recurrent_broad_iron,CYP46A1
Recurrent_broad_iron,CYP51A1
Recurrent_broad_iron,DGCR8
Recurrent_broad_iron,DNAJC24
Recurrent_broad_iron,DNM2
Recurrent_broad_iron,DOHH
Recurrent_broad_iron,DUOX1
Recurrent_broad_iron,EGLN1
Recurrent_broad_iron,EIF2AK1
Recurrent_broad_iron,FBXL5
Recurrent_broad_iron,FECH
Recurrent_broad_iron,FTH1
Recurrent_broad_iron,FTO
Recurrent_broad_iron,GLRX3
Recurrent_broad_iron,GLRX5
Recurrent_broad_iron,HIF1A
Recurrent_broad_iron,HMOX2
Recurrent_broad_iron,IREB2
Recurrent_broad_iron,ISCU
Recurrent_broad_iron,KCNH7
Recurrent_broad_iron,KDM3A
Recurrent_broad_iron,LMTK2
Recurrent_broad_iron,LYRM4
Recurrent_broad_iron,MCOLN1
Recurrent_broad_iron,MECR
Recurrent_broad_iron,MYC
Recurrent_broad_iron,NDUFAB1
Recurrent_broad_iron,NDUFS2
Recurrent_broad_iron,NDUFS3
Recurrent_broad_iron,NDUFS4
Recurrent_broad_iron,NDUFS7
Recurrent_broad_iron,NDUFS8
Recurrent_broad_iron,NEO1
Recurrent_broad_iron,NFU1
Recurrent_broad_iron,NOX4
Recurrent_broad_iron,NR1D1
Recurrent_broad_iron,NUBP1
Recurrent_broad_iron,NUBPL
Recurrent_broad_iron,PGRMC2
Recurrent_broad_iron,PICALM
Recurrent_broad_iron,PPOX
Recurrent_broad_iron,PXDN
Recurrent_broad_iron,SLC25A37
Recurrent_broad_iron,SLC25A39
Recurrent_broad_iron,SLC39A1
Recurrent_broad_iron,SLC39A14
Recurrent_broad_iron,SLC39A8
Recurrent_broad_iron,SLC40A1
Recurrent_broad_iron,SLC46A1
Recurrent_broad_iron,SLC48A1
Recurrent_broad_iron,SMAD1
Recurrent_broad_iron,SNCA
Recurrent_broad_iron,STC2
Recurrent_broad_iron,STEAP4
Recurrent_broad_iron,TBXAS1
Recurrent_broad_iron,TET1
Recurrent_broad_iron,TET2
Recurrent_broad_iron,TFAP2A
Recurrent_copper,ANG
Recurrent_copper,ARF1
Recurrent_copper,COX17
Recurrent_copper,DAXX
Recurrent_copper,GPC1
Recurrent_copper,MT3
Recurrent_copper,MUC2
Recurrent_copper,PARK7
Recurrent_copper,PRNP
Recurrent_copper,SLC30A1
Recurrent_copper,SNCA
Recurrent_copper,SUMF1
Recurrent_copper,TP53
Recurrent_core_iron,ABCB6
Recurrent_core_iron,ACO1
Recurrent_core_iron,ACO2
Recurrent_core_iron,ADO
Recurrent_core_iron,ALOX5
Recurrent_core_iron,ARHGAP1
Recurrent_core_iron,ATP6V0A2
Recurrent_core_iron,ATP6V0D1
Recurrent_core_iron,ATP6V1A
Recurrent_core_iron,B2M
Recurrent_core_iron,BCL2
Recurrent_core_iron,BMP6
Recurrent_core_iron,CIAPIN1
Recurrent_core_iron,CLTC
Recurrent_core_iron,DNAJC24
Recurrent_core_iron,DNM2
Recurrent_core_iron,DOHH
Recurrent_core_iron,EGLN1
Recurrent_core_iron,EIF2AK1
Recurrent_core_iron,FBXL5
Recurrent_core_iron,FTH1
Recurrent_core_iron,FTO
Recurrent_core_iron,GLRX3
Recurrent_core_iron,GLRX5
Recurrent_core_iron,HIF1A
Recurrent_core_iron,IREB2
Recurrent_core_iron,ISCU
Recurrent_core_iron,KDM3A
Recurrent_core_iron,LMTK2
Recurrent_core_iron,LYRM4
Recurrent_core_iron,MCOLN1
Recurrent_core_iron,MECR
Recurrent_core_iron,MYC
Recurrent_core_iron,NDUFAB1
Recurrent_core_iron,NDUFS2
Recurrent_core_iron,NDUFS3
Recurrent_core_iron,NDUFS4
Recurrent_core_iron,NDUFS7
Recurrent_core_iron,NDUFS8
Recurrent_core_iron,NEO1
Recurrent_core_iron,NFU1
Recurrent_core_iron,NUBP1
Recurrent_core_iron,NUBPL
Recurrent_core_iron,PICALM
Recurrent_core_iron,SLC25A37
Recurrent_core_iron,SLC25A39
Recurrent_core_iron,SLC39A1
Recurrent_core_iron,SLC39A14
Recurrent_core_iron,SLC39A8
Recurrent_core_iron,SLC40A1
Recurrent_core_iron,SLC46A1
Recurrent_core_iron,SLC48A1
Recurrent_core_iron,SMAD1
Recurrent_core_iron,SNCA
Recurrent_core_iron,TET1
Recurrent_core_iron,TET2
Recurrent_core_iron,TFAP2A
