gene_symbol,occurrences,recurrence_label,module_id,position,gene_colour,module_colour,link_meaning
ADO,3,3/9,AD_ERC_darkred,1.1,#666666,#8B1A1A,Repeated occurrence of the same gene across modules
ALOX5,4,4/9,AD_ERC_darkred,3.3249999999999997,#B7469B,#8B1A1A,Repeated occurrence of the same gene across modules
ATP6V0D1,4,4/9,AD_ERC_darkred,5.549999999999999,#E12C8C,#8B1A1A,Repeated occurrence of the same gene across modules
BCL2,7,7/9,AD_ERC_darkred,7.774999999999999,#1B9E77,#8B1A1A,Repeated occurrence of the same gene across modules
KCNH7,5,5/9,AD_ERC_darkred,9.999999999999998,#A76F20,#8B1A1A,Repeated occurrence of the same gene across modules
NDUFS4,5,5/9,AD_ERC_darkred,12.224999999999998,#A96755,#8B1A1A,Repeated occurrence of the same gene across modules
NFU1,4,4/9,AD_ERC_darkred,14.449999999999998,#C48F10,#8B1A1A,Repeated occurrence of the same gene across modules
PXDN,6,6/9,AD_ERC_darkred,16.674999999999997,#61864B,#8B1A1A,Repeated occurrence of the same gene across modules
STC2,5,5/9,AD_ERC_darkred,18.9,#846D97,#8B1A1A,Repeated occurrence of the same gene across modules
ABCB6,3,3/9,AD_ERC_greenyellow,1.1,#7D6B4B,#6BAF00,Repeated occurrence of the same gene across modules
ALOX5,4,4/9,AD_ERC_greenyellow,4.66,#B7469B,#6BAF00,Repeated occurrence of the same gene across modules
LMTK2,5,5/9,AD_ERC_greenyellow,8.219999999999999,#CE6014,#6BAF00,Repeated occurrence of the same gene across modules
PXDN,6,6/9,AD_ERC_greenyellow,11.78,#61864B,#6BAF00,Repeated occurrence of the same gene across modules
SNCA,4,4/9,AD_ERC_greenyellow,15.339999999999998,#957130,#6BAF00,Repeated occurrence of the same gene across modules
STC2,5,5/9,AD_ERC_greenyellow,18.9,#846D97,#6BAF00,Repeated occurrence of the same gene across modules
ATP6V0D1,4,4/9,AD_HIPPO_yellow,1.1,#E12C8C,#E6B800,Repeated occurrence of the same gene across modules
BCL2,7,7/9,AD_HIPPO_yellow,2.88,#1B9E77,#E6B800,Repeated occurrence of the same gene across modules
CYB5B,4,4/9,AD_HIPPO_yellow,4.66,#8E7E40,#E6B800,Repeated occurrence of the same gene across modules
CYP51A1,4,4/9,AD_HIPPO_yellow,6.4399999999999995,#6CA61C,#E6B800,Repeated occurrence of the same gene across modules
DNAJC24,4,4/9,AD_HIPPO_yellow,8.219999999999999,#9BA812,#E6B800,Repeated occurrence of the same gene across modules
FTH1,4,4/9,AD_HIPPO_yellow,9.999999999999998,#CBA907,#E6B800,Repeated occurrence of the same gene across modules
KCNH7,5,5/9,AD_HIPPO_yellow,11.78,#A76F20,#E6B800,Repeated occurrence of the same gene across modules
NDUFS4,5,5/9,AD_HIPPO_yellow,13.559999999999999,#A96755,#E6B800,Repeated occurrence of the same gene across modules
PXDN,6,6/9,AD_HIPPO_yellow,15.339999999999998,#61864B,#E6B800,Repeated occurrence of the same gene across modules
SLC39A1,4,4/9,AD_HIPPO_yellow,17.12,#AC7B1A,#E6B800,Repeated occurrence of the same gene across modules
STC2,5,5/9,AD_HIPPO_yellow,18.9,#846D97,#E6B800,Repeated occurrence of the same gene across modules
ACO1,4,4/9,FTLD1_red,1.1,#8D61AA,#D73027,Repeated occurrence of the same gene across modules
CYP51A1,4,4/9,FTLD1_red,7.033333333333333,#6CA61C,#D73027,Repeated occurrence of the same gene across modules
LMTK2,5,5/9,FTLD1_red,12.966666666666665,#CE6014,#D73027,Repeated occurrence of the same gene across modules
NDUFS4,5,5/9,FTLD1_red,18.9,#A96755,#D73027,Repeated occurrence of the same gene across modules
ATP6V0D1,4,4/9,FTLD2_darkmagenta,1.1,#E12C8C,#8B006B,Repeated occurrence of the same gene across modules
BCL2,7,7/9,FTLD2_darkmagenta,3.3249999999999997,#1B9E77,#8B006B,Repeated occurrence of the same gene across modules
BMP6,4,4/9,FTLD2_darkmagenta,5.549999999999999,#BE5067,#8B006B,Repeated occurrence of the same gene across modules
DNAJC24,4,4/9,FTLD2_darkmagenta,7.774999999999999,#9BA812,#8B006B,Repeated occurrence of the same gene across modules
LMTK2,5,5/9,FTLD2_darkmagenta,9.999999999999998,#CE6014,#8B006B,Repeated occurrence of the same gene across modules
MYC,4,4/9,FTLD2_darkmagenta,12.224999999999998,#DBA206,#8B006B,Repeated occurrence of the same gene across modules
PXDN,6,6/9,FTLD2_darkmagenta,14.449999999999998,#61864B,#8B006B,Repeated occurrence of the same gene across modules
SLC39A1,4,4/9,FTLD2_darkmagenta,16.674999999999997,#AC7B1A,#8B006B,Repeated occurrence of the same gene across modules
STC2,5,5/9,FTLD2_darkmagenta,18.9,#846D97,#8B006B,Repeated occurrence of the same gene across modules
ABCB6,3,3/9,FTLD3_black,1.1,#7D6B4B,#222222,Repeated occurrence of the same gene across modules
ACO1,4,4/9,FTLD3_black,2.1470588235294117,#8D61AA,#222222,Repeated occurrence of the same gene across modules
ALOX5,4,4/9,FTLD3_black,3.1941176470588233,#B7469B,#222222,Repeated occurrence of the same gene across modules
ATP6V0D1,4,4/9,FTLD3_black,4.241176470588234,#E12C8C,#222222,Repeated occurrence of the same gene across modules
BCL2,7,7/9,FTLD3_black,5.288235294117646,#1B9E77,#222222,Repeated occurrence of the same gene across modules
BMP6,4,4/9,FTLD3_black,6.335294117647058,#BE5067,#222222,Repeated occurrence of the same gene across modules
CYB5B,4,4/9,FTLD3_black,7.382352941176469,#8E7E40,#222222,Repeated occurrence of the same gene across modules
CYP51A1,4,4/9,FTLD3_black,8.42941176470588,#6CA61C,#222222,Repeated occurrence of the same gene across modules
FTH1,4,4/9,FTLD3_black,9.476470588235292,#CBA907,#222222,Repeated occurrence of the same gene across modules
