panel,module_display,gene_set,overlap,module_size,odds_ratio,p_value,FDR,minus_log10_p,FDR_significant
Alzheimer's disease,AD ERC greenyellow,Copper,6,863,3.645405211666969,0.010696350767696199,0.26740876919240497,1.9707643636016199,FALSE
Frontotemporal lobar degeneration,FTLD1 red,Copper,7,1598,2.7239866009672893,0.027159687134088346,0.4481348377124577,1.5660752372163376,FALSE
Alzheimer's disease,AD ERC darkred,Broad iron,24,1823,1.6353441680243133,0.041781869609253404,0.46743029975100114,1.379012130587988,FALSE
Alzheimer's disease,AD HIPPO yellow,Core iron,22,2433,1.662140911815206,0.04446378646632024,0.4001740781968821,1.3519935562252474,FALSE
Frontotemporal lobar degeneration,FTLD2 darkmagenta,Core iron,17,1063,2.8903453421467113,3.2655625088132774e-4,0.016001256293185058,3.486041998636389,TRUE
Frontotemporal lobar degeneration,FTLD2 darkmagenta,Broad iron,21,1063,2.352737275411066,0.0011986622333839568,0.05873444943581388,2.921303177904671,FALSE
Frontotemporal lobar degeneration,FTLD3 black,Core iron,47,5371,1.6643459376398566,0.014569412109452486,0.10551439988260278,1.836557972099045,FALSE
Frontotemporal lobar degeneration,FTLD3 turquoise,Core iron,48,5506,1.6674587576589814,0.015073485697514682,0.10551439988260278,1.8217863067995232,FALSE
Frontotemporal lobar degeneration,FTLD3 black,Broad iron,63,5371,1.4588565955723272,0.02737906925945234,0.24321352685865671,1.562581319618918,FALSE
Frontotemporal lobar degeneration,FTLD3 turquoise,Broad iron,64,5506,1.44383962252876,0.03474478955123667,0.24321352685865671,1.4591103144929036,FALSE
Movement disorders,MSA violet,Core iron,16,1461,1.8497805811779144,0.03615854323173722,0.5817590924655259,1.441789074854924,FALSE
Movement disorders,PSP pink,Core iron,18,1729,1.766277853891824,0.03635994327909537,0.5817590924655259,1.4393768029416847,FALSE
