gene_symbol,occurrences,recurrence_label,module_id,position,gene_colour,module_colour,link_meaning
DAXX,7,7/9,AD_ERC_darkred,1.1,#1B9E77,#8B1A1A,Repeated occurrence of the same gene across modules
GPC1,2,2/9,AD_ERC_darkred,4.366666666666667,#D59D08,#8B1A1A,Repeated occurrence of the same gene across modules
MT3,3,3/9,AD_ERC_darkred,7.633333333333335,#DD2E8D,#8B1A1A,Repeated occurrence of the same gene across modules
SUMF1,2,2/9,AD_ERC_darkred,10.9,#666666,#8B1A1A,Repeated occurrence of the same gene across modules
ANG,2,2/9,AD_ERC_greenyellow,1.1,#BBA90B,#6BAF00,Repeated occurrence of the same gene across modules
COX17,4,4/9,AD_ERC_greenyellow,3.5500000000000003,#897932,#6BAF00,Repeated occurrence of the same gene across modules
DAXX,7,7/9,AD_ERC_greenyellow,6,#1B9E77,#6BAF00,Repeated occurrence of the same gene across modules
MUC2,2,2/9,AD_ERC_greenyellow,8.450000000000001,#B07E18,#6BAF00,Repeated occurrence of the same gene across modules
SNCA,4,4/9,AD_ERC_greenyellow,10.9,#C8611F,#6BAF00,Repeated occurrence of the same gene across modules
ANG,2,2/9,AD_HIPPO_yellow,1.1,#BBA90B,#E6B800,Repeated occurrence of the same gene across modules
ARF1,3,3/9,AD_HIPPO_yellow,3.5500000000000003,#9B58A5,#E6B800,Repeated occurrence of the same gene across modules
COX17,4,4/9,AD_HIPPO_yellow,6,#897932,#E6B800,Repeated occurrence of the same gene across modules
DAXX,7,7/9,AD_HIPPO_yellow,8.450000000000001,#1B9E77,#E6B800,Repeated occurrence of the same gene across modules
SLC30A1,3,3/9,AD_HIPPO_yellow,10.9,#70A61B,#E6B800,Repeated occurrence of the same gene across modules
DAXX,7,7/9,FTLD1_red,1.1,#1B9E77,#D73027,Repeated occurrence of the same gene across modules
MUC2,2,2/9,FTLD1_red,4.366666666666667,#B07E18,#D73027,Repeated occurrence of the same gene across modules
PARK7,3,3/9,FTLD1_red,7.633333333333335,#A66753,#D73027,Repeated occurrence of the same gene across modules
TP53,4,4/9,FTLD1_red,10.9,#8D6B86,#D73027,Repeated occurrence of the same gene across modules
ARF1,3,3/9,FTLD3_black,1.1,#9B58A5,#222222,Repeated occurrence of the same gene across modules
COX17,4,4/9,FTLD3_black,2.5,#897932,#222222,Repeated occurrence of the same gene across modules
DAXX,7,7/9,FTLD3_black,3.9000000000000004,#1B9E77,#222222,Repeated occurrence of the same gene across modules
MT3,3,3/9,FTLD3_black,5.300000000000001,#DD2E8D,#222222,Repeated occurrence of the same gene across modules
PRNP,2,2/9,FTLD3_black,6.700000000000001,#8B6F3B,#222222,Repeated occurrence of the same gene across modules
SLC30A1,3,3/9,FTLD3_black,8.100000000000001,#70A61B,#222222,Repeated occurrence of the same gene across modules
SNCA,4,4/9,FTLD3_black,9.5,#C8611F,#222222,Repeated occurrence of the same gene across modules
TP53,4,4/9,FTLD3_black,10.9,#8D6B86,#222222,Repeated occurrence of the same gene across modules
ARF1,3,3/9,FTLD3_turquoise,1.1,#9B58A5,#009E9A,Repeated occurrence of the same gene across modules
COX17,4,4/9,FTLD3_turquoise,2.188888888888889,#897932,#009E9A,Repeated occurrence of the same gene across modules
DAXX,7,7/9,FTLD3_turquoise,3.277777777777778,#1B9E77,#009E9A,Repeated occurrence of the same gene across modules
MT3,3,3/9,FTLD3_turquoise,4.366666666666667,#DD2E8D,#009E9A,Repeated occurrence of the same gene across modules
PARK7,3,3/9,FTLD3_turquoise,5.455555555555556,#A66753,#009E9A,Repeated occurrence of the same gene across modules
PRNP,2,2/9,FTLD3_turquoise,6.544444444444444,#8B6F3B,#009E9A,Repeated occurrence of the same gene across modules
SLC30A1,3,3/9,FTLD3_turquoise,7.633333333333335,#70A61B,#009E9A,Repeated occurrence of the same gene across modules
SNCA,4,4/9,FTLD3_turquoise,8.722222222222223,#C8611F,#009E9A,Repeated occurrence of the same gene across modules
SUMF1,2,2/9,FTLD3_turquoise,9.811111111111112,#666666,#009E9A,Repeated occurrence of the same gene across modules
TP53,4,4/9,FTLD3_turquoise,10.9,#8D6B86,#009E9A,Repeated occurrence of the same gene across modules
GPC1,2,2/9,MSA_violet,6,#D59D08,#7651A8,Repeated occurrence of the same gene across modules
DAXX,7,7/9,PSP_pink,1.1,#1B9E77,#D95F9A,Repeated occurrence of the same gene across modules
PARK7,3,3/9,PSP_pink,4.366666666666667,#A66753,#D95F9A,Repeated occurrence of the same gene across modules
SNCA,4,4/9,PSP_pink,7.633333333333335,#C8611F,#D95F9A,Repeated occurrence of the same gene across modules
TP53,4,4/9,PSP_pink,10.9,#8D6B86,#D95F9A,Repeated occurrence of the same gene across modules
