module_id,gene_symbol,copper,broad_iron,core_iron,module_order,disease_group,cohort,module_colour,occurrences,recurrence_label
AD_ERC_darkred,BCL2,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred,7,7/9
AD_HIPPO_yellow,BCL2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,7,7/9
FTLD2_darkmagenta,BCL2,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,7,7/9
FTLD3_black,BCL2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,7,7/9
FTLD3_turquoise,BCL2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,7,7/9
MSA_violet,BCL2,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,7,7/9
PSP_pink,BCL2,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,7,7/9
AD_ERC_greenyellow,PXDN,FALSE,TRUE,FALSE,1,Alzheimer's disease,ERC,greenyellow,6,6/9
AD_ERC_darkred,PXDN,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred,6,6/9
AD_HIPPO_yellow,PXDN,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow,6,6/9
FTLD2_darkmagenta,PXDN,FALSE,TRUE,FALSE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,6,6/9
FTLD3_black,PXDN,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,6,6/9
FTLD3_turquoise,PXDN,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,6,6/9
AD_ERC_darkred,KCNH7,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred,5,5/9
AD_HIPPO_yellow,KCNH7,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow,5,5/9
FTLD3_black,KCNH7,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,5,5/9
FTLD3_turquoise,KCNH7,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,5,5/9
MSA_violet,KCNH7,FALSE,TRUE,FALSE,8,Multiple system atrophy,MSA,violet,5,5/9
AD_ERC_greenyellow,LMTK2,FALSE,TRUE,TRUE,1,Alzheimer's disease,ERC,greenyellow,5,5/9
FTLD1_red,LMTK2,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red,5,5/9
FTLD2_darkmagenta,LMTK2,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,5,5/9
FTLD3_black,LMTK2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,5,5/9
FTLD3_turquoise,LMTK2,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,5,5/9
AD_ERC_darkred,NDUFS4,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred,5,5/9
AD_HIPPO_yellow,NDUFS4,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,5,5/9
FTLD1_red,NDUFS4,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red,5,5/9
FTLD3_black,NDUFS4,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,5,5/9
FTLD3_turquoise,NDUFS4,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,5,5/9
AD_ERC_greenyellow,STC2,FALSE,TRUE,FALSE,1,Alzheimer's disease,ERC,greenyellow,5,5/9
AD_ERC_darkred,STC2,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred,5,5/9
AD_HIPPO_yellow,STC2,FALSE,TRUE,FALSE,3,Alzheimer's disease,HIPPO,yellow,5,5/9
FTLD2_darkmagenta,STC2,FALSE,TRUE,FALSE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,5,5/9
FTLD3_black,STC2,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,5,5/9
FTLD1_red,ACO1,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red,4,4/9
FTLD3_black,ACO1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,4,4/9
FTLD3_turquoise,ACO1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,4,4/9
MSA_violet,ACO1,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,4,4/9
