gene_symbol,occurrences,recurrence_label,module_id,module_order,module_label,disease_group,copper,broad_iron,core_iron,iron_class
ABCB6,3,3/9,AD_ERC_greenyellow,1,"ERC
greenyellow",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
ABCB6,3,3/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ABCB6,3,3/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ACO1,4,4/9,FTLD1_red,4,"FTLD1
red",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ACO1,4,4/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ACO1,4,4/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ACO1,4,4/9,MSA_violet,8,"MSA
violet",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
ACO2,2,2/9,AD_HIPPO_yellow,3,"HIPPO
yellow",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
ACO2,2,2/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ADO,3,3/9,AD_ERC_darkred,2,"ERC
darkred",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
ADO,3,3/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ADO,3,3/9,PSP_pink,9,"PSP
pink",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
ALOX5,4,4/9,AD_ERC_darkred,2,"ERC
darkred",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
ALOX5,4,4/9,AD_ERC_greenyellow,1,"ERC
greenyellow",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
ALOX5,4,4/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ALOX5,4,4/9,PSP_pink,9,"PSP
pink",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
ARHGAP1,2,2/9,AD_HIPPO_yellow,3,"HIPPO
yellow",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
ARHGAP1,2,2/9,FTLD2_darkmagenta,5,"FTLD2
darkmagenta",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V0A2,3,3/9,AD_HIPPO_yellow,3,"HIPPO
yellow",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V0A2,3,3/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V0A2,3,3/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V0D1,4,4/9,AD_ERC_darkred,2,"ERC
darkred",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V0D1,4,4/9,AD_HIPPO_yellow,3,"HIPPO
yellow",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V0D1,4,4/9,FTLD2_darkmagenta,5,"FTLD2
darkmagenta",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V0D1,4,4/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V1A,3,3/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V1A,3,3/9,MSA_violet,8,"MSA
violet",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
ATP6V1A,3,3/9,PSP_pink,9,"PSP
pink",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
B2M,3,3/9,AD_HIPPO_yellow,3,"HIPPO
yellow",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
B2M,3,3/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
B2M,3,3/9,PSP_pink,9,"PSP
pink",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
BCL2,7,7/9,AD_ERC_darkred,2,"ERC
darkred",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
BCL2,7,7/9,AD_HIPPO_yellow,3,"HIPPO
yellow",Alzheimer's disease,FALSE,TRUE,TRUE,Core iron (also broad iron)
BCL2,7,7/9,FTLD2_darkmagenta,5,"FTLD2
darkmagenta",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
BCL2,7,7/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
BCL2,7,7/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
BCL2,7,7/9,MSA_violet,8,"MSA
violet",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
BCL2,7,7/9,PSP_pink,9,"PSP
pink",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
BMP6,4,4/9,FTLD2_darkmagenta,5,"FTLD2
darkmagenta",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
BMP6,4,4/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
BMP6,4,4/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
BMP6,4,4/9,MSA_violet,8,"MSA
violet",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
CAT,3,3/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,FALSE,Broad iron only
CAT,3,3/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,FALSE,Broad iron only
CAT,3,3/9,PSP_pink,9,"PSP
pink",Movement disorders,FALSE,TRUE,FALSE,Broad iron only
CIAPIN1,2,2/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
CIAPIN1,2,2/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
CLTC,2,2/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,TRUE,Core iron (also broad iron)
CLTC,2,2/9,MSA_violet,8,"MSA
violet",Movement disorders,FALSE,TRUE,TRUE,Core iron (also broad iron)
CPOX,2,2/9,FTLD1_red,4,"FTLD1
red",Frontotemporal lobar degeneration,FALSE,TRUE,FALSE,Broad iron only
CPOX,2,2/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,FALSE,Broad iron only
CYB5B,4,4/9,AD_HIPPO_yellow,3,"HIPPO
yellow",Alzheimer's disease,FALSE,TRUE,FALSE,Broad iron only
CYB5B,4,4/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,FALSE,Broad iron only
CYB5B,4,4/9,FTLD3_turquoise,7,"FTLD3
turquoise",Frontotemporal lobar degeneration,FALSE,TRUE,FALSE,Broad iron only
CYB5B,4,4/9,PSP_pink,9,"PSP
pink",Movement disorders,FALSE,TRUE,FALSE,Broad iron only
CYP27A1,3,3/9,FTLD1_red,4,"FTLD1
red",Frontotemporal lobar degeneration,FALSE,TRUE,FALSE,Broad iron only
CYP27A1,3,3/9,FTLD3_black,6,"FTLD3
black",Frontotemporal lobar degeneration,FALSE,TRUE,FALSE,Broad iron only
CYP27A1,3,3/9,MSA_violet,8,"MSA
violet",Movement disorders,FALSE,TRUE,FALSE,Broad iron only
