network_id,module,gene_set,overlap,module_size,network_background_size,available_gene_set_size,odds_ratio,p_value,FDR,module_id,disease_group,disease_or_comparison,dataset_or_network,source_study,positive_enrichment,FDR_significant
AD_DLPFC,greenyellow,Broad iron,24,1966,14798,134,1.429260920274206,0.12380080831345476,0.9822816196261065,AD_DLPFC_greenyellow,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,purple,Broad iron,14,1873,14798,134,0.8036241912394926,0.5146896571769484,0.9822816196261065,AD_DLPFC_purple,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,green,Broad iron,20,2513,14798,134,0.8565123450159641,0.6434513574270424,0.9822816196261065,AD_DLPFC_green,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,yellow,Broad iron,16,1688,14798,134,1.053615115390617,0.785565771635135,0.9822816196261065,AD_DLPFC_yellow,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,midnightblue,Broad iron,19,1974,14798,134,1.0740554176034878,0.7981038159462115,0.9822816196261065,AD_DLPFC_midnightblue,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,salmon,Broad iron,17,2008,14798,134,0.9248407240048082,0.8990665960600148,0.9999999999999994,AD_DLPFC_salmon,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,greenyellow,Copper,7,1966,14798,31,1.9067258784775212,0.1770310109559292,0.9277345668544223,AD_DLPFC_greenyellow,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,salmon,Copper,5,2008,14798,31,1.2254459555956583,0.6024290446457637,0.9277345668544223,AD_DLPFC_salmon,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,green,Copper,6,2513,14798,31,1.1736286617661356,0.6378175147124153,0.9277345668544223,AD_DLPFC_green,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,midnightblue,Copper,4,1974,14798,31,0.9623605658349849,0.9999999999999998,1,AD_DLPFC_midnightblue,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,yellow,Copper,3,1688,14798,31,0.8318744424471215,0.9999999999999999,1,AD_DLPFC_yellow,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,purple,Copper,4,1873,14798,31,1.0223739800785998,1.0000000000000002,1,AD_DLPFC_purple,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,greenyellow,Core iron,18,1966,14798,90,1.6375046460488647,0.08404089763976269,0.6723271811181015,AD_DLPFC_greenyellow,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,purple,Core iron,8,1873,14798,90,0.6718528711917602,0.3409317092249277,0.9243442742085805,AD_DLPFC_purple,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,midnightblue,Core iron,14,1974,14798,90,1.1980948450116176,0.5330579173848017,0.9243442742085805,AD_DLPFC_midnightblue,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,yellow,Core iron,8,1688,14798,90,0.7565757217921062,0.616305145552412,0.9243442742085805,AD_DLPFC_yellow,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,green,Core iron,16,2513,14798,90,1.057361550187295,0.7796624779830948,0.9395014762237327,AD_DLPFC_green,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_DLPFC,salmon,Core iron,11,2008,14798,90,0.8862507257001544,0.8770630296945552,0.9395014762237327,AD_DLPFC_salmon,Alzheimer's disease,AD,DLPFC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,darkred,Broad iron,24,1823,14429,126,1.6353441680243133,0.041781869609253404,0.46743029975100114,AD_ERC_darkred,Alzheimer's disease,AD,ERC,Fodder et al. (2026),TRUE,FALSE
AD_ERC,royalblue,Broad iron,28,2516,14429,126,1.3567654696037295,0.15727273969819322,0.9311872090122365,AD_ERC_royalblue,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
