module_order,module_id,disease_group,disease_or_comparison,dataset_or_network,network_id,disease_trait,module,module_label,modules_tested,bonferroni_threshold,selection_method,selection_threshold,source_study
1,AD_DLPFC_purple,Alzheimer's disease,AD,DLPFC,AD_DLPFC,AD,purple,Purple,16,0.003125,Network-specific Bonferroni correction,0.003125,Fodder et al. (2026)
2,AD_DLPFC_yellow,Alzheimer's disease,AD,DLPFC,AD_DLPFC,AD,yellow,Yellow,16,0.003125,Network-specific Bonferroni correction,0.003125,Fodder et al. (2026)
3,AD_DLPFC_midnightblue,Alzheimer's disease,AD,DLPFC,AD_DLPFC,AD,midnightblue,Midnightblue,16,0.003125,Network-specific Bonferroni correction,0.003125,Fodder et al. (2026)
4,AD_DLPFC_green,Alzheimer's disease,AD,DLPFC,AD_DLPFC,AD,green,Green,16,0.003125,Network-specific Bonferroni correction,0.003125,Fodder et al. (2026)
5,AD_DLPFC_greenyellow,Alzheimer's disease,AD,DLPFC,AD_DLPFC,AD,greenyellow,Greenyellow,16,0.003125,Network-specific Bonferroni correction,0.003125,Fodder et al. (2026)
6,AD_DLPFC_salmon,Alzheimer's disease,AD,DLPFC,AD_DLPFC,AD,salmon,Salmon,16,0.003125,Network-specific Bonferroni correction,0.003125,Fodder et al. (2026)
1,AD_ERC_purple,Alzheimer's disease,AD,ERC,AD_ERC,AD,purple,Purple,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
2,AD_ERC_lightgreen,Alzheimer's disease,AD,ERC,AD_ERC,AD,lightgreen,Lightgreen,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
3,AD_ERC_pink,Alzheimer's disease,AD,ERC,AD_ERC,AD,pink,Pink,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
4,AD_ERC_black,Alzheimer's disease,AD,ERC,AD_ERC,AD,black,Black,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
5,AD_ERC_lightyellow,Alzheimer's disease,AD,ERC,AD_ERC,AD,lightyellow,Lightyellow,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
6,AD_ERC_turquoise,Alzheimer's disease,AD,ERC,AD_ERC,AD,turquoise,Turquoise,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
7,AD_ERC_midnightblue,Alzheimer's disease,AD,ERC,AD_ERC,AD,midnightblue,Midnightblue,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
8,AD_ERC_tan,Alzheimer's disease,AD,ERC,AD_ERC,AD,tan,Tan,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
9,AD_ERC_greenyellow,Alzheimer's disease,AD,ERC,AD_ERC,AD,greenyellow,Greenyellow,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
10,AD_ERC_lightcyan,Alzheimer's disease,AD,ERC,AD_ERC,AD,lightcyan,Lightcyan,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
11,AD_ERC_darkred,Alzheimer's disease,AD,ERC,AD_ERC,AD,darkred,Darkred,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
12,AD_ERC_grey60,Alzheimer's disease,AD,ERC,AD_ERC,AD,grey60,Grey60,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
13,AD_ERC_orange,Alzheimer's disease,AD,ERC,AD_ERC,AD,orange,Orange,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
14,AD_ERC_blue,Alzheimer's disease,AD,ERC,AD_ERC,AD,blue,Blue,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
15,AD_ERC_cyan,Alzheimer's disease,AD,ERC,AD_ERC,AD,cyan,Cyan,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
16,AD_ERC_darkgrey,Alzheimer's disease,AD,ERC,AD_ERC,AD,darkgrey,Darkgrey,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
17,AD_ERC_royalblue,Alzheimer's disease,AD,ERC,AD_ERC,AD,royalblue,Royalblue,25,0.002,Network-specific Bonferroni correction,0.002,Fodder et al. (2026)
1,AD_HIPPO_midnightblue,Alzheimer's disease,AD,HIPPO,AD_HIPPO,AD,midnightblue,Midnightblue,18,0.002777777777777778,Network-specific Bonferroni correction,0.002777777777777778,Fodder et al. (2026)
2,AD_HIPPO_grey60,Alzheimer's disease,AD,HIPPO,AD_HIPPO,AD,grey60,Grey60,18,0.002777777777777778,Network-specific Bonferroni correction,0.002777777777777778,Fodder et al. (2026)
3,AD_HIPPO_salmon,Alzheimer's disease,AD,HIPPO,AD_HIPPO,AD,salmon,Salmon,18,0.002777777777777778,Network-specific Bonferroni correction,0.002777777777777778,Fodder et al. (2026)
4,AD_HIPPO_magenta,Alzheimer's disease,AD,HIPPO,AD_HIPPO,AD,magenta,Magenta,18,0.002777777777777778,Network-specific Bonferroni correction,0.002777777777777778,Fodder et al. (2026)
5,AD_HIPPO_lightgreen,Alzheimer's disease,AD,HIPPO,AD_HIPPO,AD,lightgreen,Lightgreen,18,0.002777777777777778,Network-specific Bonferroni correction,0.002777777777777778,Fodder et al. (2026)
6,AD_HIPPO_yellow,Alzheimer's disease,AD,HIPPO,AD_HIPPO,AD,yellow,Yellow,18,0.002777777777777778,Network-specific Bonferroni correction,0.002777777777777778,Fodder et al. (2026)
7,AD_HIPPO_green,Alzheimer's disease,AD,HIPPO,AD_HIPPO,AD,green,Green,18,0.002777777777777778,Network-specific Bonferroni correction,0.002777777777777778,Fodder et al. (2026)
8,AD_HIPPO_brown,Alzheimer's disease,AD,HIPPO,AD_HIPPO,AD,brown,Brown,18,0.002777777777777778,Network-specific Bonferroni correction,0.002777777777777778,Fodder et al. (2026)
1,FTLD1_darkturquoise,Frontotemporal lobar degeneration,FTLD,FTLD1,FTLD1,FTLD,darkturquoise,Darkturquoise,33,0.0015151515151515152,Network-specific Bonferroni correction,0.0015151515151515152,Fodder et al. (2023)
2,FTLD1_skyblue,Frontotemporal lobar degeneration,FTLD,FTLD1,FTLD1,FTLD,skyblue,Skyblue,33,0.0015151515151515152,Network-specific Bonferroni correction,0.0015151515151515152,Fodder et al. (2023)
3,FTLD1_white,Frontotemporal lobar degeneration,FTLD,FTLD1,FTLD1,FTLD,white,White,33,0.0015151515151515152,Network-specific Bonferroni correction,0.0015151515151515152,Fodder et al. (2023)
4,FTLD1_brown,Frontotemporal lobar degeneration,FTLD,FTLD1,FTLD1,FTLD,brown,Brown,33,0.0015151515151515152,Network-specific Bonferroni correction,0.0015151515151515152,Fodder et al. (2023)
