network_id,module,gene_set,overlap,module_size,network_background_size,available_gene_set_size,odds_ratio,p_value,FDR,module_id,disease_group,disease_or_comparison,dataset_or_network,source_study,positive_enrichment,FDR_significant,result_key
AD_ERC,greenyellow,Copper,6,863,14429,32,3.645405211666969,0.010696350767696199,0.26740876919240497,AD_ERC_greenyellow,Alzheimer's disease,AD,ERC,Fodder et al. (2026),TRUE,FALSE,AD_ERC|greenyellow|Copper
FTLD1,red,Copper,7,1598,15242,29,2.7239866009672893,0.027159687134088346,0.4481348377124577,FTLD1_red,Frontotemporal lobar degeneration,FTLD,FTLD1,Fodder et al. (2023),TRUE,FALSE,FTLD1|red|Copper
AD_ERC,darkred,Broad iron,24,1823,14429,126,1.6353441680243133,0.041781869609253404,0.46743029975100114,AD_ERC_darkred,Alzheimer's disease,AD,ERC,Fodder et al. (2026),TRUE,FALSE,AD_ERC|darkred|Broad iron
AD_HIPPO,yellow,Core iron,22,2433,13606,83,1.662140911815206,0.04446378646632024,0.4001740781968821,AD_HIPPO_yellow,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),TRUE,FALSE,AD_HIPPO|yellow|Core iron
FTLD2,darkmagenta,Core iron,17,1063,15193,96,2.8903453421467113,3.2655625088132774e-4,0.016001256293185058,FTLD2_darkmagenta,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),TRUE,TRUE,FTLD2|darkmagenta|Core iron
FTLD2,darkmagenta,Broad iron,21,1063,15193,141,2.352737275411066,0.0011986622333839568,0.05873444943581388,FTLD2_darkmagenta,Frontotemporal lobar degeneration,FTLD,FTLD2,Fodder et al. (2023),TRUE,FALSE,FTLD2|darkmagenta|Broad iron
FTLD3,black,Core iron,47,5371,15037,98,1.6643459376398566,0.014569412109452486,0.10551439988260278,FTLD3_black,Frontotemporal lobar degeneration,FTLD,FTLD3,Fodder et al. (2023),TRUE,FALSE,FTLD3|black|Core iron
FTLD3,turquoise,Core iron,48,5506,15037,98,1.6674587576589814,0.015073485697514682,0.10551439988260278,FTLD3_turquoise,Frontotemporal lobar degeneration,FTLD,FTLD3,Fodder et al. (2023),TRUE,FALSE,FTLD3|turquoise|Core iron
FTLD3,black,Broad iron,63,5371,15037,141,1.4588565955723272,0.02737906925945234,0.24321352685865671,FTLD3_black,Frontotemporal lobar degeneration,FTLD,FTLD3,Fodder et al. (2023),TRUE,FALSE,FTLD3|black|Broad iron
FTLD3,turquoise,Broad iron,64,5506,15037,141,1.44383962252876,0.03474478955123667,0.24321352685865671,FTLD3_turquoise,Frontotemporal lobar degeneration,FTLD,FTLD3,Fodder et al. (2023),TRUE,FALSE,FTLD3|turquoise|Broad iron
MSA,violet,Core iron,16,1461,15579,100,1.8497805811779144,0.03615854323173722,0.5817590924655259,MSA_violet,Movement disorders,MSA,Movement-disorder network,Murthy et al. (2024),TRUE,FALSE,MSA|violet|Core iron
PSP,pink,Core iron,18,1729,15579,100,1.766277853891824,0.03635994327909537,0.5817590924655259,PSP_pink,Movement disorders,PSP,Movement-disorder network,Murthy et al. (2024),TRUE,FALSE,PSP|pink|Core iron
