No.,geneSymbol,Gene_set,GO_terms,GO_identifiers,Evidence_codes,Source_files
1,ANG,Copper,copper binding,GO:0005507,IDA,copper_binding_3.txt
2,ANKRD9,Copper,copper homeostasis; copper ion homeostasis,GO:0006878,IMP,copper_homeostasis_3.txt; copper_ion_homeostasis_3.txt
3,AOC1,Copper,copper binding,GO:0005507; GO:0005509; GO:0005515; GO:0008201; GO:0042803,IDA; IPI,copper_binding_3.txt
4,AOC2,Copper,copper binding,GO:0005515,IPI,copper_binding_3.txt
5,AOC3,Copper,copper binding,GO:0005507; GO:0005509; GO:0005515; GO:0042802; GO:0046982; GO:0048038,IDA; IPI,copper_binding_3.txt
6,APOA4,Copper,copper binding,GO:0005507,IDA,copper_binding_3.txt
7,AQP1,Copper,cellular response to copper ion; copper transport; response to copper ion,GO:0071280,IDA,cellular_response_to_copper_ion_3.txt; copper_transport_3.txt; response_to_copper_ion_3.txt
8,AQP2,Copper,cellular response to copper ion; copper transport; response to copper ion,GO:0071280,IDA,cellular_response_to_copper_ion_3.txt; copper_transport_3.txt; response_to_copper_ion_3.txt
9,ARF1,Copper,copper homeostasis; copper ion homeostasis,GO:0006878,IMP,copper_homeostasis_3.txt; copper_ion_homeostasis_3.txt
10,ATOX1,Copper,copper binding; copper chaperone activity; copper transport,GO:0005507; GO:0005515; GO:0016531; GO:0032767; GO:1903136,IDA; IPI,copper_binding_3.txt; copper_chaperone_activity_3.txt; copper_transport_3.txt
11,ATP7A,Copper,copper binding; copper homeostasis; copper ion export; copper ion homeostasis; copper ion transmembrane transport; copper ion transmembrane transporter activity; copper transport,GO:0005507; GO:0005515; GO:0005524; GO:0005770; GO:0005783; GO:0005794; GO:0005802; GO:0005886; GO:0006825; GO:0006878; GO:0016020; GO:0016323; GO:0030140; GO:0032767; GO:0048023; GO:0048471; GO:0060003; GO:0140581; GO:1903136,HDA; IDA; IMP; IPI,copper_binding_3.txt; copper_homeostasis_3.txt; copper_ion_export_3.txt; copper_ion_homeostasis_3.txt; copper_ion_transmembrane_transport_3.txt; copper_ion_transmembrane_transporter_activity_3.txt; copper_transport_3.txt
12,ATP7B,Copper,cellular response to copper ion; copper binding; copper ion detoxification; copper ion transmembrane transport; copper ion transmembrane transporter activity; copper transport; response to copper ion,GO:0005375; GO:0005507; GO:0005515; GO:0005524; GO:0005770; GO:0005794; GO:0005802; GO:0006825; GO:0016020; GO:0016323; GO:0031410; GO:0032588; GO:0046688; GO:0048471; GO:0140581; GO:1990880,HDA; IDA; IGI; IMP; IPI,cellular_response_to_copper_ion_3.txt; copper_binding_3.txt; copper_ion_detoxification_3.txt; copper_ion_transmembrane_transport_3.txt; copper_ion_transmembrane_transporter_activity_3.txt; copper_transport_3.txt; response_to_copper_ion_3.txt
13,CCDC22,Copper,copper homeostasis; copper ion homeostasis,GO:0006878,IMP,copper_homeostasis_3.txt; copper_ion_homeostasis_3.txt
14,CCS,Copper,copper binding,GO:0005507; GO:0005515; GO:0045296,HDA; IDA; IPI,copper_binding_3.txt
15,COA6,Copper,copper binding,GO:0005507,IDA,copper_binding_3.txt
16,COMMD1,Copper,copper binding; copper homeostasis; copper ion homeostasis,GO:0005507; GO:0055070,IDA,copper_binding_3.txt; copper_homeostasis_3.txt; copper_ion_homeostasis_3.txt
17,COX17,Copper,copper binding; copper chaperone activity,GO:0005515; GO:0016531; GO:1903136,IDA; IMP; IPI,copper_binding_3.txt; copper_chaperone_activity_3.txt
18,COX19,Copper,copper homeostasis; copper ion homeostasis,GO:0006878,IMP,copper_homeostasis_3.txt; copper_ion_homeostasis_3.txt
