No.,geneSymbol,Gene_set,GO_terms,GO_identifiers,Evidence_codes,Source_files
1,ABCB6,Broad iron,heme binding; heme metabolic process; heme transport; iron ion binding; iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0006785; GO:0015439; GO:0015886; GO:0020037; GO:0035351; GO:0042168,IDA; IMP,heme_binding_3.txt; heme_metabolic_process_3.txt; heme_transport_3.txt; iron_ion_binding_3.txt; iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
2,ABCB7,Broad iron,heme binding; heme metabolic process; heme transport; intracellular iron ion homeostasis; iron homeostasis; iron ion binding; iron ion transmembrane transport; iron ion transport; iron-sulfur cluster assembly,GO:0006879; GO:0034755; GO:0070455; GO:0140466; GO:1903331,IDA; IMP,heme_binding_3.txt; heme_metabolic_process_3.txt; heme_transport_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_ion_binding_3.txt; iron_ion_transmembrane_transport_3.txt; iron_ion_transport_3.txt; iron-sulfur_cluster_assembly_3.txt
3,ABCC2,Broad iron,heme binding; heme metabolic process,GO:0042167,IMP,heme_binding_3.txt; heme_metabolic_process_3.txt
4,ABCC5,Broad iron,heme binding; heme transport; iron ion binding; iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0015232; GO:0035351,IMP,heme_binding_3.txt; heme_transport_3.txt; iron_ion_binding_3.txt; iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
5,ACO1,Broad iron,response to iron ion,GO:0010040,IDA,response_to_iron_ion_3.txt
6,ACO2,Broad iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
7,ACP5,Broad iron,ferric iron binding; ferrous iron binding; iron ion binding,GO:0008198; GO:0008199,IDA,ferric_iron_binding_3.txt; ferrous_iron_binding_3.txt; iron_ion_binding_3.txt
8,ACVR2B,Broad iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; response to iron ion,GO:0006879; GO:0030509,IDA,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; response_to_iron_ion_3.txt
9,ADO,Broad iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
10,AGMO,Broad iron,iron ion binding,GO:0005506,IMP,iron_ion_binding_3.txt
11,ALAD,Broad iron,heme metabolic process,GO:0006782; GO:0006783; GO:0006785,IDA,heme_metabolic_process_3.txt
12,ALAS2,Broad iron,heme metabolic process,GO:0006782; GO:0006785,IDA,heme_metabolic_process_3.txt
13,ALB,Broad iron,heme binding,GO:0020037,EXP,heme_binding_3.txt
14,ALKBH1,Broad iron,ferrous iron binding; iron ion binding,GO:0008198,IDA,ferrous_iron_binding_3.txt; iron_ion_binding_3.txt
15,ALKBH2,Broad iron,ferrous iron binding; iron ion binding,GO:0008198,IDA,ferrous_iron_binding_3.txt; iron_ion_binding_3.txt
16,ALKBH3,Broad iron,ferrous iron binding; iron ion binding,GO:0008198,IDA,ferrous_iron_binding_3.txt; iron_ion_binding_3.txt
17,ALOX15B,Broad iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
18,ALOX5,Broad iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
19,AMBP,Broad iron,heme binding,GO:0020037,IDA,heme_binding_3.txt
20,AOX1,Broad iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
21,ARHGAP1,Broad iron,iron ion transport,GO:0033572,IMP,iron_ion_transport_3.txt
22,ATP13A2,Broad iron,intracellular iron ion homeostasis; iron homeostasis; iron ion transport,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_ion_transport_3.txt
23,ATP6AP1,Broad iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
24,ATP6V0A2,Broad iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
25,ATP6V0D1,Broad iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
26,ATP6V1A,Broad iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
27,ATP6V1G1,Broad iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
28,B2M,Broad iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; iron ion binding; iron ion transport; response to iron ion,GO:0005515; GO:0006879; GO:0033572; GO:0034756; GO:0034757; GO:0048261; GO:0071281,IDA; IGI; IPI,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_ion_binding_3.txt; iron_ion_transport_3.txt; response_to_iron_ion_3.txt
29,BACH1,Broad iron,intracellular iron ion homeostasis; iron homeostasis,GO:0000122,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
30,BCL2,Broad iron,response to iron ion,GO:0010039,IDA,response_to_iron_ion_3.txt
31,BLVRA,Broad iron,heme metabolic process,GO:0042167,IDA,heme_metabolic_process_3.txt
32,BLVRB,Broad iron,heme metabolic process,GO:0042167,IDA,heme_metabolic_process_3.txt
33,BMP2,Broad iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; response to iron ion,GO:0005125; GO:0006879; GO:0030509,IDA,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; response_to_iron_ion_3.txt
34,BMP6,Broad iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; multicellular organismal-level iron ion homeostasis; response to iron ion,GO:0005125; GO:0006879; GO:0030509; GO:0060586,IDA; IMP,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; multicellular_organismal-level_iron_ion_homeostasis_3.txt; response_to_iron_ion_3.txt
35,BOLA2,Broad iron,intracellular iron ion homeostasis; iron homeostasis; iron-sulfur cluster assembly,GO:0006879; GO:0016226; GO:0044571,IDA,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron-sulfur_cluster_assembly_3.txt
36,CAT,Broad iron,heme binding,GO:0020037,IDA,heme_binding_3.txt
