No.,geneSymbol,Gene_set,GO_terms,GO_identifiers,Evidence_codes,Source_files
1,ABCB6,Core iron,iron ion binding; iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0015439; GO:0015886; GO:0035351,IDA; IMP,iron_ion_binding_3.txt; iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
2,ABCB7,Core iron,intracellular iron ion homeostasis; iron homeostasis; iron ion binding; iron ion transmembrane transport; iron ion transport; iron-sulfur cluster assembly,GO:0006879; GO:0034755; GO:0140466; GO:1903331,IDA; IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_ion_binding_3.txt; iron_ion_transmembrane_transport_3.txt; iron_ion_transport_3.txt; iron-sulfur_cluster_assembly_3.txt
3,ABCC5,Core iron,iron ion binding; iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0015232; GO:0035351,IMP,iron_ion_binding_3.txt; iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
4,ACO1,Core iron,response to iron ion,GO:0010040,IDA,response_to_iron_ion_3.txt
5,ACO2,Core iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
6,ACP5,Core iron,ferric iron binding; ferrous iron binding; iron ion binding,GO:0008198; GO:0008199,IDA,ferric_iron_binding_3.txt; ferrous_iron_binding_3.txt; iron_ion_binding_3.txt
7,ACVR2B,Core iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; response to iron ion,GO:0006879; GO:0030509,IDA,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; response_to_iron_ion_3.txt
8,ADO,Core iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
9,AGMO,Core iron,iron ion binding,GO:0005506,IMP,iron_ion_binding_3.txt
10,ALKBH1,Core iron,ferrous iron binding; iron ion binding,GO:0008198,IDA,ferrous_iron_binding_3.txt; iron_ion_binding_3.txt
