No.,Disease group,Dataset/cohort,Module,Gene set,Overlap,Module size,Network background size,Available gene-set size,Odds ratio,P-value,FDR-adjusted P-value
1,Alzheimer's disease,ERC,Greenyellow,Copper,6,863,14429,32,3.645405211666969,0.010696350767696199,0.26740876919240497
2,Frontotemporal lobar degeneration,FTLD1,Red,Copper,7,1598,15242,29,2.7239866009672893,0.027159687134088346,0.4481348377124577
3,Alzheimer's disease,ERC,Darkred,Broad iron,24,1823,14429,126,1.6353441680243133,0.041781869609253404,0.46743029975100114
4,Alzheimer's disease,HIPPO,Yellow,Core iron,22,2433,13606,83,1.662140911815206,0.04446378646632024,0.4001740781968821
5,Frontotemporal lobar degeneration,FTLD2,Darkmagenta,Core iron,17,1063,15193,96,2.8903453421467113,3.2655625088132774e-4,0.016001256293185058
6,Frontotemporal lobar degeneration,FTLD2,Darkmagenta,Broad iron,21,1063,15193,141,2.352737275411066,0.0011986622333839568,0.05873444943581388
7,Frontotemporal lobar degeneration,FTLD3,Black,Core iron,47,5371,15037,98,1.6643459376398566,0.014569412109452486,0.10551439988260278
8,Frontotemporal lobar degeneration,FTLD3,Turquoise,Core iron,48,5506,15037,98,1.6674587576589814,0.015073485697514682,0.10551439988260278
9,Frontotemporal lobar degeneration,FTLD3,Black,Broad iron,63,5371,15037,141,1.4588565955723272,0.02737906925945234,0.24321352685865671
10,Frontotemporal lobar degeneration,FTLD3,Turquoise,Broad iron,64,5506,15037,141,1.44383962252876,0.03474478955123667,0.24321352685865671
11,Movement disorders,Movement-disorder network,Violet,Core iron,16,1461,15579,100,1.8497805811779144,0.03615854323173722,0.5817590924655259
12,Movement disorders,Movement-disorder network,Pink,Core iron,18,1729,15579,100,1.766277853891824,0.03635994327909537,0.5817590924655259
