No.,Gene symbol,Occurrences,Status,Metal-set membership,Retained module(s)
1,BCL2,7,Recurrent,Core iron (also broad iron),AD_ERC_darkred; AD_HIPPO_yellow; FTLD2_darkmagenta; FTLD3_black; FTLD3_turquoise; MSA_violet; PSP_pink
2,DAXX,7,Recurrent,Copper,AD_ERC_greenyellow; AD_ERC_darkred; AD_HIPPO_yellow; FTLD1_red; FTLD3_black; FTLD3_turquoise; PSP_pink
3,PXDN,6,Recurrent,Broad iron,AD_ERC_greenyellow; AD_ERC_darkred; AD_HIPPO_yellow; FTLD2_darkmagenta; FTLD3_black; FTLD3_turquoise
4,KCNH7,5,Recurrent,Broad iron,AD_ERC_darkred; AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise; MSA_violet
5,LMTK2,5,Recurrent,Core iron (also broad iron),AD_ERC_greenyellow; FTLD1_red; FTLD2_darkmagenta; FTLD3_black; FTLD3_turquoise
6,NDUFS4,5,Recurrent,Core iron (also broad iron),AD_ERC_darkred; AD_HIPPO_yellow; FTLD1_red; FTLD3_black; FTLD3_turquoise
7,STC2,5,Recurrent,Broad iron,AD_ERC_greenyellow; AD_ERC_darkred; AD_HIPPO_yellow; FTLD2_darkmagenta; FTLD3_black
8,ACO1,4,Recurrent,Core iron (also broad iron),FTLD1_red; FTLD3_black; FTLD3_turquoise; MSA_violet
9,ALOX5,4,Recurrent,Core iron (also broad iron),AD_ERC_greenyellow; AD_ERC_darkred; FTLD3_black; PSP_pink
10,ATP6V0D1,4,Recurrent,Core iron (also broad iron),AD_ERC_darkred; AD_HIPPO_yellow; FTLD2_darkmagenta; FTLD3_black
11,BMP6,4,Recurrent,Core iron (also broad iron),FTLD2_darkmagenta; FTLD3_black; FTLD3_turquoise; MSA_violet
12,COX17,4,Recurrent,Copper,AD_ERC_greenyellow; AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise
13,CYB5B,4,Recurrent,Broad iron,AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise; PSP_pink
