Module,Gene symbol,Copper-set member,Broad-iron-set member,Core-iron-set member,Contributed to module enrichment,Matched in FTLDexp,Log2 fold change,Nominal P,FDR-adjusted P,Significantly differentially expressed,Direction
FTLD1 red,STEAP4,FALSE,TRUE,FALSE,FALSE,TRUE,1.7437094645517548,1.1243035329817998e-4,0.00352287383964701,TRUE,Upregulated
FTLD1 red,LMTK2,FALSE,TRUE,TRUE,FALSE,TRUE,-0.3315881897168369,0.0016842418451254,0.01608985214984932,TRUE,Downregulated
FTLD1 red,PLOD3,FALSE,TRUE,TRUE,FALSE,TRUE,0.33477976484614125,0.00964892011844195,0.04763244032997842,TRUE,Upregulated
FTLD1 red,CYP27A1,FALSE,TRUE,FALSE,FALSE,TRUE,0.3152109724348646,0.03593133693831917,0.11323077588918376,FALSE,NA
FTLD1 red,DAXX,TRUE,FALSE,FALSE,TRUE,TRUE,0.1108460659972188,0.08610100606786794,0.20294962297434,FALSE,NA
FTLD1 red,TP53,TRUE,FALSE,FALSE,TRUE,TRUE,0.24392569523074492,0.09351966629523516,0.2148222273074591,FALSE,NA
FTLD1 red,PARK7,TRUE,FALSE,FALSE,TRUE,TRUE,0.10286233810547696,0.13391091673002575,0.27251029058400106,FALSE,NA
FTLD1 red,ISCU,FALSE,TRUE,TRUE,FALSE,TRUE,-0.09633225780953224,0.17721602250290378,0.3298886027466472,FALSE,NA
FTLD1 red,CYP51A1,FALSE,TRUE,FALSE,FALSE,TRUE,-0.10628778668637384,0.2104278406886804,0.3704138430789088,FALSE,NA
FTLD1 red,S100A13,TRUE,FALSE,FALSE,TRUE,TRUE,0.13427874121862793,0.32034876225554393,0.4887499353302045,FALSE,NA
FTLD1 red,ACO1,FALSE,TRUE,TRUE,FALSE,TRUE,0.05553880163961988,0.38581924994566286,0.554679766509559,FALSE,NA
FTLD1 red,NDUFS4,FALSE,TRUE,TRUE,FALSE,TRUE,-0.07449716732627554,0.39116193592209625,0.5597463923419291,FALSE,NA
FTLD1 red,COMMD1,TRUE,FALSE,FALSE,TRUE,TRUE,0.04555767216495088,0.40736681890028825,0.5736206523737195,FALSE,NA
FTLD1 red,NDUFS7,FALSE,TRUE,TRUE,FALSE,TRUE,0.0383163119367893,0.5298585158624833,0.6810148937324059,FALSE,NA
FTLD1 red,COX19,TRUE,FALSE,FALSE,TRUE,TRUE,-0.04576164932720417,0.5786099913435745,0.7199853994065653,FALSE,NA
FTLD1 red,FBXL5,FALSE,TRUE,TRUE,FALSE,TRUE,-0.02383760515532174,0.6446563507782264,0.7710898953162498,FALSE,NA
FTLD1 red,CPOX,FALSE,TRUE,FALSE,FALSE,TRUE,0.02798358753138607,0.7974460572139717,0.8785898734835509,FALSE,NA
FTLD1 red,NDUFAB1,FALSE,TRUE,TRUE,FALSE,TRUE,0.02229895614731059,0.8349411184712561,0.9030597033379628,FALSE,NA
FTLD1 red,CYP17A1,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA
FTLD1 red,MUC2,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,NA
FTLD2 darkmagenta,LMTK2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.3315881897168369,0.0016842418451254,0.01608985214984932,TRUE,Downregulated
