gene_symbol,occurrences,recurrence_label,retained_modules,copper,broad_iron,core_iron
DAXX,7,7/9,AD_ERC_greenyellow; AD_ERC_darkred; AD_HIPPO_yellow; FTLD1_red; FTLD3_black; FTLD3_turquoise; PSP_pink,TRUE,FALSE,FALSE
COX17,4,4/9,AD_ERC_greenyellow; AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise,TRUE,FALSE,FALSE
SNCA,4,4/9,AD_ERC_greenyellow; FTLD3_black; FTLD3_turquoise; PSP_pink,TRUE,TRUE,TRUE
TP53,4,4/9,FTLD1_red; FTLD3_black; FTLD3_turquoise; PSP_pink,TRUE,FALSE,FALSE
ARF1,3,3/9,AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise,TRUE,FALSE,FALSE
MT3,3,3/9,AD_ERC_darkred; FTLD3_black; FTLD3_turquoise,TRUE,FALSE,FALSE
PARK7,3,3/9,FTLD1_red; FTLD3_turquoise; PSP_pink,TRUE,FALSE,FALSE
SLC30A1,3,3/9,AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise,TRUE,FALSE,FALSE
ANG,2,2/9,AD_ERC_greenyellow; AD_HIPPO_yellow,TRUE,FALSE,FALSE
GPC1,2,2/9,AD_ERC_darkred; MSA_violet,TRUE,FALSE,FALSE
MUC2,2,2/9,AD_ERC_greenyellow; FTLD1_red,TRUE,FALSE,FALSE
PRNP,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,FALSE,FALSE
SUMF1,2,2/9,AD_ERC_darkred; FTLD3_turquoise,TRUE,FALSE,FALSE
